,X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
11,11,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_16,16,black,Non-Fiber,Black,0,"rubbery texture, bounces back, particle can be flattened.",0,0.168,0.744,0.346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,346,7.44,346,176.72,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,74.4,744,409.2,176.72,0.000744,0.000346,0.00017672,0.348306184,0.000356981,998,1450,0.022110027,1.594508107,1290,0.017011238,1.226798911,1610,0.026518995,1.912469528
12,12,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_21,21,black,Non-Fiber,Black,0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.",done,1.774,1.906,1.542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,1542,19.06,1906,962.53,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,190.6,1906,1048.3,962.53,0.001906,0.001542,0.00096253,0.561449422,0.001414297,998,1450,0.08857587,6.387823177,1290,0.068149406,4.914728549,1610,0.106238815,7.661621237
13,13,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_22,22,black,Non-Fiber,Black,0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.",done,2.313,3.285,1.322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285,1322,32.85,1322,677.425,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,328.5,3285,1806.75,677.425,0.003285,0.001322,0.000677425,0.325070684,0.001432878,998,1450,0.064483825,4.650377978,1290,0.049613223,3.57795524,1610,0.077342568,5.577711482
14,14,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_24,24,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.143,0.642,0.401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,401,6.42,642,324.21,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,64.2,642,353.1,324.21,0.000642,0.000401,0.00032421,0.638979177,0.000437021,998,1450,0.037410215,2.69791127,1290,0.028783053,2.07574649,1610,0.044870199,3.235902702
15,15,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_30,30,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.126,0.544,0.347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,347,5.44,544,274.72,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,54.4,544,299.2,274.72,0.000544,0.000347,0.00027472,0.632304235,0.000372912,998,1450,0.032744417,2.361428055,1290,0.025193233,1.816859603,1610,0.039273992,2.832321252
16,16,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_31,31,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.133,0.642,0.343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,343,6.42,642,324.21,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,64.2,642,353.1,324.21,0.000642,0.000343,0.00032421,0.690894654,0.000414844,998,1450,0.037605544,2.711997828,1290,0.028933337,2.08658455,1610,0.045104479,3.252798266
17,17,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_2,2,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.388,0.84,0.679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,679,8.4,840,424.2,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,84,840,462,424.2,0.00084,0.000679,0.0004242,0.561689278,0.000623122,998,1450,0.045988887,3.316579133,1290,0.035383399,2.551743481,1610,0.055159548,3.977939341
18,18,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_5,5,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.045,0.408,0.161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,161,4.08,161,82.54,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,40.8,408,224.4,82.54,0.000408,0.000161,8.25E-05,0.322048622,0.000175678,998,1450,0.011962528,0.862701245,1290,0.009203852,0.663753883,1610,0.01434798,1.034732803
19,19,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_7,7,black,Non-Fiber,Black,0,"rubbery texture, bounces back, particle could be flattened.",0,0.505,1.19,0.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,780,11.9,1190,600.95,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,119,1190,654.5,600.95,0.00119,0.00078,0.00060095,0.623760052,0.000823177,998,1450,0.061193008,4.413054244,1290,0.047081301,3.395360686,1610,0.073395528,5.293062939
20,20,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_9,9,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.187,0.852,0.444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,444,8.52,852,430.26,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,85.2,852,468.6,430.26,0.000852,0.000444,0.00043026,0.699551497,0.00054599,998,1450,0.047199354,3.403874306,1290,0.03631472,2.618907532,1610,0.056611394,4.082642075
21,21,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_20,20,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.17,0.795,0.385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,385,7.95,385,196.475,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,79.5,795,437.25,196.475,0.000795,0.000385,0.000196475,0.355134912,0.000391783,998,1450,0.024097317,1.737825449,1290,0.01854024,1.337065869,1610,0.028902572,2.084365831
