"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1",1,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_2","2","black","Non-Fiber","Black",0,"0","done",0.45,1.418,0.715,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,715,14.18,715,364.59,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,141.8,1418,779.9,364.59,0.001418,0.000715,0.00036459,0.362087569996869,0.000717676967230392,998,1700,0.703406813627255,13.6632558629987,4.6,0.0515284658644522,36.9807931076349,2.48684603451628,0.0515284658644522,0.002,9.81,0.0615358432135288,2.09343299667029,2.09343299667029
"2",2,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_11","11","black","Non-Fiber","Black",0,"0","done",2.172,4.33,2.213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330,2213,43.3,4330,2186.65,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,433,4330,2381.5,2186.65,0.00433,0.002213,0.00218665,0.706390124920805,0.0027568694125182,998,1700,0.703406813627255,52.485747605188,4.6,0.225826843182676,622.575116495863,0.497369766694696,0.225826843182676,0.002,9.81,0.0615358432135288,9.17460586340951,9.17460586340951
"3",3,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_A_18","18","black","Non-Fiber","Black",0,"hard texture.","done",0.558,1.189,0.796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,796,11.89,1189,600.445,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,118.9,1189,653.95,600.445,0.001189,0.000796,0.000600445,0.617199792750171,0.000828303287448193,998,1700,0.703406813627255,15.7693785161347,4.6,0.0795834582148803,65.9192400658813,1.20325613813236,0.0795834582148803,0.002,9.81,0.0626418390534633,3.17613033945881,3.17613033945881
"4",4,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_A_7","7","black","Non-Fiber","Black",0,"rubbery texture, bounces back slowly.","done",2.356,2.885,1.876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2885,1876,28.85,2885,1456.925,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,288.5,2885,1586.75,1456.925,0.002885,0.001876,0.001456925,0.626250188854672,0.0019903919920459,998,1700,0.703406813627255,37.8934204338991,4.6,0.161888295531073,322.221167031008,0.698750335562533,0.161888295531073,0.002,9.81,0.0615358432135288,6.57699184235284,6.57699184235284
"5",5,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_14","14","black","Non-Fiber","Black",0,"0","0",0.156,0.81,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,313,8.1,313,160.55,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,81,810,445.5,160.55,0.00081,0.000313,0.00016055,0.318856762131883,0.00034399058446151,998,1700,0.703406813627255,6.54895110832121,4.6,0.0265100446642194,9.11920575814555,4.50339406783454,0.0265100446642194,0.002,9.81,0.0615358432135288,1.07701638914046,1.07701638914046
"6",6,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_15","15","black","Non-Fiber","Black",0,"0","0",0.208,1.617,0.283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617,283,16.17,283,149.585,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,161.7,1617,889.35,149.585,0.001617,0.000283,0.000149585,0.221126004136567,0.000409067365423938,998,1700,0.703406813627255,7.78789390519174,4.6,0.02444756412228,10.0007006465339,6.2970618761399,0.02444756412228,0.002,9.81,0.0615358432135288,0.993224551967508,0.993224551967508
"7",7,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_15","15","black","Non-Fiber","Black",0,"0","0",0.271,1.636,0.517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1636,517,16.36,517,266.68,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,163.6,1636,899.8,266.68,0.001636,0.000517,0.00026668,0.289970304916061,0.00060872540826102,998,1700,0.703406813627255,11.5890175986499,4.6,0.0395334844964675,24.0650364900929,3.58348470068332,0.0395334844964675,0.002,9.81,0.0626418390534633,1.57775877487914,1.57775877487914
"8",8,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_19","19","black","Non-Fiber","Black",0,"0","0",0.094,0.494,0.356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,356,4.94,494,249.47,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,49.4,494,271.7,249.47,0.000494,0.000356,0.00024947,0.594880665022807,0.000352694286752449,998,1700,0.703406813627255,6.71465366920372,4.6,0.0393180968342849,13.8672681194318,2.09907406903424,0.0393180968342849,0.002,9.81,0.0626418390534633,1.56916277636453,1.56916277636453
"9",9,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_20","20","black","Non-Fiber","Black",0,"0","0",0.46,1.073,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,700,10.73,1073,541.865,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,107.3,1073,590.15,541.865,0.001073,7e-04,0.000541865,0.625233470678868,0.000741076350326491,998,1700,0.703406813627255,14.1087372883148,4.6,0.0733721982324503,54.3744008815361,1.26652628491292,0.0733721982324503,0.002,9.81,0.0626418390534633,2.92824250297907,2.92824250297907
"10",10,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_B_8","8","black","Non-Fiber","Black",0,"0","0",0.056,0.447,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,330,4.47,447,225.735,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,44.7,447,245.85,225.735,0.000447,0.00033,0.000225735,0.587743953218963,0.000321716588485619,998,1700,0.703406813627255,6.12489499393249,4.6,0.0362666550653885,11.6675845434215,2.25046760711042,0.0362666550653885,0.002,9.81,0.0615358432135288,1.47339555174143,1.47339555174143
