"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"2258",2258,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_10",10,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, emits a powdery form.","0","0.218",0.756,0.461,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,461,7.56,756,381.78,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,75.6,756,415.8,381.78,0.000756,0.000461,0.00038178,0.646698439782681,0.000510519064610026,998,1700,0.703406813627255,9.71934856656241,4.6,0.055570780408004,28.3699428335434,1.52101426792509,0.055570780408004,5e-04,9.81,0.076078249191211,1.82610604866627,1.82610604866627
"2259",2259,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_14",14,"black","Non-Fiber","Black",0,"rubbery texture, could make dents.","0","0.296",0.953,0.566,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,566,9.53,953,481.265,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,95.3,953,524.15,481.265,0.000953,0.000566,0.000481265,0.655284073753122,0.000637917530171124,998,1700,0.703406813627255,12.1447821683014,4.6,0.0669399268228891,42.7021527886932,1.30981025140024,0.0669399268228891,5e-04,9.81,0.076078249191211,2.19970647111784,2.19970647111784
"2260",2260,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_19",19,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.172",0.595,0.388,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,388,5.95,595,300.475,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,59.5,595,327.25,300.475,0.000595,0.000388,0.000300475,0.625365614710191,0.000410883793511368,998,1700,0.703406813627255,7.8224753712949,4.6,0.0457795420929843,18.8100719203788,1.80380853630457,0.0457795420929843,5e-04,9.81,0.076078249191211,1.50435711191002,1.50435711191002
"2261",2261,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_22",22,"black","Non-Fiber","Black",0,"squishy and black powder","done","0.222",0.659,0.486,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,486,6.59,659,332.795,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,65.9,659,362.45,332.795,0.000659,0.000486,0.000332795,0.588052297092041,0.000474132245186593,998,1700,0.703406813627255,9.02661012500184,4.6,0.0494749085687829,23.4576494801185,1.78214815957966,0.0494749085687829,5e-04,9.81,0.076078249191211,1.62579019281961,1.62579019281961
"2262",2262,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_23",23,"black","Non-Fiber","Black",0,"rubbery texture, could make dents.","0","0.212",0.615,0.494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,494,6.15,615,310.575,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,61.5,615,338.25,310.575,0.000615,0.000494,0.000310575,0.563463075677388,0.000455256532470246,998,1700,0.703406813627255,8.66725110386007,4.6,0.0466809904364216,21.251825838362,1.92216372553921,0.0466809904364216,5e-04,9.81,0.076078249191211,1.53397951887326,1.53397951887326
"2263",2263,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_25",25,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.187",0.738,0.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,520,7.38,738,372.69,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,73.8,738,405.9,372.69,0.000738,0.00052,0.00037269,0.601613935113771,0.000522960814625227,998,1700,0.703406813627255,9.9562167142155,4.6,0.0542477696401116,28.3694578025944,1.63500727333967,0.0542477696401116,5e-04,9.81,0.076078249191211,1.78263071958215,1.78263071958215
"2264",2264,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_29",29,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.165",0.824,0.465,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,465,8.24,824,416.12,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,82.4,824,453.2,416.12,0.000824,0.000465,0.00041612,0.672246434588689,0.000542250030109078,998,1700,0.703406813627255,10.3234480711998,4.6,0.0596887670995053,32.3662357568805,1.40032448555359,0.0596887670995053,5e-04,9.81,0.076078249191211,1.96142681167277,1.96142681167277
"2265",2265,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_34",34,"black","Non-Fiber","Black",0,"rubbery texture, could make dents.","0","0.136",0.629,0.364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,364,6.29,629,317.645,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,62.9,629,345.95,317.645,0.000629,0.000364,0.000317645,0.663843961292904,0.000417411763527563,998,1700,0.703406813627255,7.94675597199673,4.6,0.0480515264966221,20.0572724151465,1.66327715036578,0.0480515264966221,5e-04,9.81,0.076078249191211,1.57901657199852,1.57901657199852
"2266",2266,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_35",35,"black","Non-Fiber","Black",0,"could make dents, bounces back.","0","0.194",0.658,0.449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658,449,6.58,658,332.29,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,65.8,658,361.9,332.29,0.000658,0.000449,0.00033229,0.61133766581825,0.000461313859043281,998,1700,0.703406813627255,8.78257151484178,4.6,0.0495429349003411,22.8548424872064,1.729208477935,0.0495429349003411,5e-04,9.81,0.076078249191211,1.62802559953182,1.62802559953182
"2267",2267,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","3","LB","Outside Thalweg_2",1.18,"SF-2","SAD-SF-2-N-3","SAD-SF-2","SAD-SF-2-N-3_S0-0_R_37",37,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents.","0","0.165",0.521,0.455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,455,5.21,521,263.105,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,52.1,521,286.55,263.105,0.000521,0.000455,0.000263105,0.54038656289978,0.000396575676539992,998,1700,0.703406813627255,7.55007501288286,4.6,0.0407661238882298,16.1668531608878,2.19554098519225,0.0407661238882298,5e-04,9.81,0.076078249191211,1.33961166041592,1.33961166041592
