"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","polymer","plastic_or_not","Length..microns.","Width..microns.","material.1","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"780",789,"CA","fragment","CELLULOSE ACETATE","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_12",12,"black","Non-Fiber","Black",0,"0","0",0.089,0.425,0.313,0,"Y","SDC-SF-3-N-3_S0-0_D_12.SPA","Y",0.9,"CA","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Cellulose Derivatives (Ether Cellulose)","CELLULOSE ACETATE","plastic",425,313,NA,4.25,425,214.625,1.3e-09,1.27e-09,1.33e-09,1.28e-09,1.32e-09,42.5,425,233.75,214.625,0.000425,0.000313,0.000214625,0.588455565082596,0.000305636012681627,998,1280,0.282565130260521,4.29339042488188,4.6,0.0201537032051989,6.15969748840594,2.78112890648882,0.0201537032051989,0.002,9.81,0.173824048969065,0.289857809157144,0.289857809157144
"781",790,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_20",20,"black","Non-Fiber","Black",0,"0","0",0.339,1.437,0.383,0,"Y","SDC-SF-3-N-3_S0-0_D_20.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1437,383,NA,14.37,383,198.685,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,143.7,1437,790.35,198.685,0.001437,0.000383,0.000198685,0.267816487377227,0.000478197029782417,998,751,0.24749498997996,6.42715362436135,4.6,0.0122323734113023,5.84948463247418,10.3456925977827,-0.0122323734113023,0.002,9.81,0.173824048969065,0.175930394612417,-0.175930394612417
"782",791,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_31",31,"green","Non-Fiber","Green",0,"0","0",0.68,1.335,0.74,0,"Y","SDC-SF-3-N-3_S0-0_D_31.SPA","Y",1,"HDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1335,740,NA,13.35,1335,674.175,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,133.5,1335,734.25,674.175,0.001335,0.00074,0.000674175,0.678291150712683,0.00087329681534301,998,751,0.24749498997996,11.7374480440184,4.6,0.0266666682556347,23.2879164634544,3.97556186531233,-0.0266666682556347,0.002,9.81,0.173824048969065,0.383529615346558,-0.383529615346558
"783",792,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_51",51,"orange","Non-Fiber","Yellow",0,"0","0",0.221,1.307,0.437,0,"Y","SDC-SF-3-N-3_S0-0_D_51.SPA","Y",0.9,"HDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1307,437,NA,13.07,437,225.035,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,130.7,1307,718.85,225.035,0.001307,0.000437,0.000225035,0.297763566409229,0.000504664045501158,998,751,0.24749498997996,6.78288058502469,4.6,0.0131460711082767,6.63434942794879,9.45332451261417,-0.0131460711082767,0.002,9.81,0.173824048969065,0.189071523564271,-0.189071523564271
"784",793,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_55",55,"green","Non-Fiber","Green",0,"0","0",0.397,0.98,0.666,0,"Y","SDC-SF-3-N-3_S0-0_D_55.SPA","Y",1,"HDPE.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",980,666,NA,9.8,980,494.9,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,98,980,539,494.9,0.00098,0.000666,0.0004949,0.612586330252326,0.000686129227355552,998,751,0.24749498997996,9.2218430390189,4.6,0.0202540847905038,13.8969195481022,5.41445599000754,-0.0202540847905038,0.002,9.81,0.173824048969065,0.291301533226112,-0.291301533226112
"785",794,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_D_61",61,"gray","Non-Fiber","Black",0,"0","0",0.172,0.812,0.323,0,"Y","SDC-SF-3-N-3_S0-0_D_61.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",812,323,NA,8.12,323,165.56,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,81.2,812,446.6,165.56,0.000812,0.000323,0.00016556,0.32327799353667,0.000351483268589626,998,751,0.24749498997996,4.72407150802687,4.6,0.00837314310526822,2.94301970700837,16.2293746084667,-0.00837314310526822,0.002,9.81,0.173824048969065,0.120425556114481,-0.120425556114481
"786",795,"other plastic","fragment","OTHER PLASTIC","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_2",2,"black","Non-Fiber","Black",0," bounces back, could make dents.","0",0.331,0.917,0.517,0,"Y","SDC-SF-3-N-3_S0-0_E_2.SPA","Y",0.7,"alkyd varnish","Primpke et al. 2018","0","ATR","0","Polymer, Minerals, Organic Materials","OTHER PLASTIC","0","plastic",917,517,NA,9.17,917,463.085,1.38e-09,1.34e-09,1.42e-09,1.36e-09,1.41e-09,91.7,917,504.35,463.085,0.000917,0.000517,0.000463085,0.672559597353471,0.000603263242648965,998,1360,0.362725450901804,9.20992039413957,4.6,0.0437001237794673,26.3626783753626,1.49874346765649,0.0437001237794673,0.002,9.81,0.173824048969065,0.628510899939462,0.628510899939462
"787",796,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_9",9,"pink","Non-Fiber","Red",0,"0","0",0.963,1.478,1.095,0,"Y","SDC-SF-3-N-3_S0-0_E_9.SPA","Y",0.9,"HDPE.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1478,1095,NA,14.78,1478,746.39,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,147.8,1478,812.9,746.39,0.001478,0.001095,0.00074639,0.586707359008011,0.00106500453021062,998,751,0.24749498997996,14.314074115891,4.6,0.0315705539285356,33.6227829551492,3.4590847857248,-0.0315705539285356,0.002,9.81,0.173824048969065,0.454059063112638,-0.454059063112638
"788",797,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_12",12,"white","Non-Fiber","White",0,"0","0",0.596,1.345,0.713,0,"Y","SDC-SF-3-N-3_S0-0_E_12.SPA","Y",0.7,"Polyethylene, low Mw ~4,000 by GPC","NIST Chem Web Book","0","Reflectance","0","Polymer, Minerals, Organic Materials","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1345,713,NA,13.45,1345,679.225,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,134.5,1345,739.75,679.225,0.001345,0.000713,0.000679225,0.693597877323576,0.000866845752585174,998,751,0.24749498997996,11.6507432574917,4.6,0.0265897971020195,23.0492526799872,3.9690441947066,-0.0265897971020195,0.002,9.81,0.173824048969065,0.382424026763288,-0.382424026763288
"789",798,"PP","fragment","POLY(PROPYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_E_13",13,"green","Non-Fiber","Green",0,"0","0",1.803,2.464,1.307,0,"Y","SDC-SF-3-N-3_S0-0_E_13.SPA","Y",0.7,"PP 25. White Cutting Board Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",2464,1307,NA,24.64,2464,1244.32,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,246.4,2464,1355.2,1244.32,0.002464,0.001307,0.00124432,0.693384191727367,0.0015883618870391,998,999,0.00100200400801603,3.40248024956029,4.6,0.00281551273772214,4.47205312507094,2.62610246472766,0.00281551273772214,0.002,9.81,0.173824048969065,0.0404937169859506,0.0404937169859506
"790",799,"EVA","fragment","ETHYLENE-VINYL ACETATE","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_9",9,"black","Non-Fiber","Black",0,"0","0",0.095,0.418,0.326,0,"Y","SDC-SF-3-N-3_S0-0_F_9.SPA","Y",0.9,"EVA","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Other Plastic","ETHYLENE-VINYL ACETATE","plastic",418,326,NA,4.18,418,211.09,9.39e-10,9.31e-10,9.47e-10,9.34e-10,9.44e-10,41.8,418,229.9,211.09,0.000418,0.000326,0.00021109,0.571834980915625,0.000306398885023677,998,934,0.0641282565130259,2.6253869808567,4.6,0.00240895632144076,0.738101530960186,44.2880446362282,-0.00240895632144076,0.002,9.81,0.173824048969065,0.0346464763611258,-0.0346464763611258
"791",800,"polystyrene","fragment","POLYSTYRENE","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_11",11,"white","Non-Fiber","White",0,"0","0",0.087,0.624,0.249,0,"Y","SDC-SF-3-N-3_S0-0_F_11.SPA","Y",0.9,"EPS","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYSTYRENES (POLYPHENYLETHYLENES, Î±-Methylstyrene)","POLYSTYRENE","plastic",624,249,NA,6.24,249,127.62,1.05e-09,1.05e-09,1.05e-09,1.05e-09,1.05e-09,62.4,624,343.2,127.62,0.000624,0.000249,0.00012762,0.32376266923014,0.000270666324615819,998,1050,0.0521042084168337,2.1641207821288,4.6,0.00463339172451523,1.25410310857989,8.59244448154765,0.00463339172451523,0.002,9.81,0.173824048969065,0.066639106498719,0.066639106498719
"792",801,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_18",18,"black","Non-Fiber","Black",0,"0","0",0.165,0.684,0.441,0,"Y","SDC-SF-3-N-3_S0-0_F_18.SPA","Y",0.8,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",684,441,NA,6.84,684,345.42,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,68.4,684,376.2,345.42,0.000684,0.000441,0.00034542,0.628926847568012,0.000470558970504957,998,751,0.24749498997996,6.32449514404718,4.6,0.0131225651324948,6.17494073913098,8.84607748057866,-0.0131225651324948,0.002,9.81,0.173824048969065,0.188733452165041,-0.188733452165041
"793",802,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_29",29,"black","Non-Fiber","Black",0,"0","0",0.186,0.759,0.406,0,"Y","SDC-SF-3-N-3_S0-0_F_29.SPA","Y",0.8,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",759,406,NA,7.59,759,383.295,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,75.9,759,417.45,383.295,0.000759,0.000406,0.000383295,0.690477051836845,0.00049064455982214,998,751,0.24749498997996,6.59445325783159,4.6,0.0140368908509893,6.88712413285507,8.06119260789086,-0.0140368908509893,0.002,9.81,0.173824048969065,0.20188361354831,-0.20188361354831
"794",803,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_32",32,"blue","Non-Fiber","Blue",0,"0","0",0.551,1.295,0.741,0,"Y","SDC-SF-3-N-3_S0-0_F_32.SPA","Y",1,"HDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1295,741,NA,12.95,1295,653.975,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,129.5,1295,712.25,653.975,0.001295,0.000741,0.000653975,0.66760127638997,0.000856149697651151,998,751,0.24749498997996,11.5069841290277,4.6,0.0260429467939073,22.2966610235487,4.08642578789022,-0.0260429467939073,0.002,9.81,0.173824048969065,0.374559028919843,-0.374559028919843
"795",804,"Nylon 6,6 - Poly(hexamethylene adipamide)","fragment","NYLON 6,6 - POLY(HEXAMETHYLENE ADIPAMIDE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_33",33,"pink","Non-Fiber","Red",0,"0","0",0.014,1.236,0.424,1.582,"Y","SDC-SF-3-N-3_S0-0_F_33.SPA","Y",0.9,"Nylon 6/6 pellets","NIST Chem Web Book","0","Reflectance","0","Polymer, Minerals, Organic Materials","Polyamides (POLYLACTAMS)","NYLON 6,6 - POLY(HEXAMETHYLENE ADIPAMIDE)","plastic",1236,424,NA,12.36,424,218.18,1.33e-09,1.33e-09,1.33e-09,1.33e-09,1.33e-09,123.6,1236,679.8,218.18,0.001236,0.000424,0.00021818,0.301385791234164,0.000485362726520221,998,1330,0.332665330661323,7.19932763196719,4.6,0.0215388851506236,10.4541720229126,4.5523460402881,0.0215388851506236,0.002,9.81,0.173824048969065,0.309779994171819,0.309779994171819
"796",805,"polystyrene","fragment","POLYSTYRENE","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_56",56,"white","Non-Fiber","White",0,"0","0",11.043,5.909,3.545,0,"Y","SDC-SF-3-N-3_S0-0_F_56.SPA","Y",0.8,"PS","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYSTYRENES (POLYPHENYLETHYLENES, Î±-Methylstyrene)","POLYSTYRENE","plastic",5909,3545,NA,59.09,5909,2984.045,1.05e-09,1.05e-09,1.05e-09,1.05e-09,1.05e-09,590.9,5909,3249.95,2984.045,0.005909,0.003545,0.002984045,0.651988977080236,0.00396867192755469,998,1050,0.0521042084168337,31.7316363905372,4.6,0.0604332410697976,239.839707324851,0.740583399390963,0.0604332410697976,0.002,9.81,0.173824048969065,0.869172612020916,0.869172612020916
"797",806,"PE","fragment","POLY(ETHYLENE)","fragment","SDC","Stormflow","3","T-1","Inside Thalweg",1.54,"SF-3","SDC-SF-3-N-3","SDC-SF-3","SDC-SF-3-N-3_S0-0_F_60",60,"green","Non-Fiber","Green",0,"0","0",0.456,1.274,0.659,0,"Y","SDC-SF-3-N-3_S0-0_F_60.SPA","Y",0.9,"HDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1274,659,NA,12.74,1274,643.37,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,127.4,1274,700.7,643.37,0.001274,0.000659,0.00064337,0.702155633846685,0.000814401471261397,998,751,0.24749498997996,10.94587176772,4.6,0.024985734513774,20.3484189485642,4.22307178164052,-0.024985734513774,0.002,9.81,0.173824048969065,0.359353821608145,-0.359353821608145
