"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1",1,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_13",13,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.498",1.178,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,570,11.78,570,290.89,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,117.8,1178,647.9,290.89,0.001178,0.00057,0.00029089,0.354992124704409,0.000580207020233147,998,1200,0.202404809619238,7.29255294933237,4.6,0.0203433281703773,11.8033418193597,3.71165448564698,0.0203433281703773,5e-04,9.81,0.0346659054403603,1.46709915058877,1.46709915058877
"2",2,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_23",23,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents in the particle.","0","0.901",1.405,0.947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,947,14.05,1405,709.525,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,140.5,1405,772.75,709.525,0.001405,0.000947,0.000709525,0.615112497330123,0.000980990199309239,998,1200,0.202404809619238,12.3299490040021,4.6,0.0430654367238328,42.2467713550522,1.4003465611514,0.0430654367238328,5e-04,9.81,0.0346659054403603,3.10574873040048,3.10574873040048
"3",3,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_38",38,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.826,0.458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,458,8.26,826,417.13,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,82.6,826,454.3,417.13,0.000826,0.000458,0.00041713,0.678185754075215,0.000540387942584029,998,1200,0.202404809619238,6.79207170380541,4.6,0.0283398866136605,15.3145330202206,1.78130384666577,0.0283398866136605,5e-04,9.81,0.0346659054403603,2.04378670149095,2.04378670149095
"4",4,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_39",39,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.874,0.468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,468,8.74,874,441.37,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,87.4,874,480.7,441.37,0.000874,0.000468,0.00044137,0.690119291682342,0.000565179887732961,998,1200,0.202404809619238,7.10367871028885,4.6,0.0296843983006818,16.7770248989999,1.69808243817372,0.0296843983006818,5e-04,9.81,0.0346659054403603,2.14074880805806,2.14074880805806
"5",5,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_6",6,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.096",0.572,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,374,5.72,572,288.86,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,57.2,572,314.6,288.86,0.000572,0.000374,0.00028886,0.624530411824851,0.000395352976326789,998,1200,0.202404809619238,4.96914448291355,4.6,0.0210060577644131,8.30480745805318,2.37205346693153,0.0210060577644131,5e-04,9.81,0.0346659054403603,1.51489319964195,1.51489319964195
"6",6,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_8",8,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, breaks apart easily.","done","0.093",0.568,0.231,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,231,5.68,231,118.34,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,56.8,568,312.4,118.34,0.000568,0.000231,0.00011834,0.326701709626288,0.000249477065427074,998,1200,0.202404809619238,3.13564752894566,4.6,0.0098523478374665,2.45793482605792,6.80424161151576,0.0098523478374665,5e-04,9.81,0.0346659054403603,0.710521455614121,0.710521455614121
"7",7,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_11",11,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.236",0.94,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,370,9.4,370,189.7,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,94,940,517,189.7,0.00094,0.00037,0.0001897,0.321664062078222,0.000404078400299461,998,1200,0.202404809619238,5.07881329784881,4.6,0.0143561644533347,5.80101596673949,5.19059756966901,0.0143561644533347,5e-04,9.81,0.0346659054403603,1.03532305524467,1.03532305524467
"8",8,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_12",12,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.461",1.138,0.615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,615,11.38,1138,574.69,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,113.8,1138,625.9,574.69,0.001138,0.000615,0.00057469,0.686949720648598,0.000738159714002767,998,1200,0.202404809619238,9.27784154915277,4.6,0.0366521649735946,27.0551516144908,1.45472079188383,0.0366521649735946,5e-04,9.81,0.0346659054403603,2.64324301557993,2.64324301557993
"9",9,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_14",14,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","3.857",2.92,1.838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1838,29.2,2920,1474.6,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,292,2920,1606,1474.6,0.00292,0.001838,0.0014746,0.636517063171427,0.00199281750475874,998,1200,0.202404809619238,25.047485923162,4.6,0.0774969202982683,154.437219335282,0.878470563204986,0.0774969202982683,5e-04,9.81,0.0346659054403603,5.588842936152,5.588842936152
"10",10,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_15",15,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.109",0.463,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,358,4.63,463,233.815,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,46.3,463,254.65,233.815,0.000463,0.000358,0.000233815,0.574302041782485,0.000338411772201157,998,1200,0.202404809619238,4.2534572685154,4.6,0.0176386351250181,5.96912177186697,2.87967901448992,0.0176386351250181,5e-04,9.81,0.0346659054403603,1.27204488826665,1.27204488826665
"11",11,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_16",16,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, particle can be flattened.","0","0.168",0.744,0.346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,346,7.44,346,176.72,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,74.4,744,409.2,176.72,0.000744,0.000346,0.00017672,0.348306184391906,0.000356980844329927,998,1200,0.202404809619238,4.48684972499518,4.6,0.013636943206089,4.86812749978891,5.08205570345971,0.013636943206089,5e-04,9.81,0.0346659054403603,0.983454999433824,0.983454999433824
"12",12,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_21",21,"black","Non-Fiber","Black",0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.","done","1.774",1.906,1.542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,1542,19.06,1906,962.53,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,190.6,1906,1048.3,962.53,0.001906,0.001542,0.00096253,0.561449422437944,0.0014142966569596,998,1200,0.202404809619238,17.7761262743722,4.6,0.0546315076719465,77.2651586650967,1.25453480629824,0.0546315076719465,5e-04,9.81,0.0346659054403603,3.93985870107557,3.93985870107557
"13",13,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_22",22,"black","Non-Fiber","Black",0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.","done","2.313",3.285,1.322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285,1322,32.85,1322,677.425,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,328.5,3285,1806.75,677.425,0.003285,0.001322,0.000677425,0.325070684299988,0.00143287844537302,998,1200,0.202404809619238,18.0096785603196,4.6,0.0397721028198328,56.9885888576981,2.39817468812336,0.0397721028198328,5e-04,9.81,0.0346659054403603,2.86824347399906,2.86824347399906
"14",14,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_24",24,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.143",0.642,0.401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,401,6.42,642,324.21,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.2,642,353.1,324.21,0.000642,0.000401,0.00032421,0.638979177303479,0.000437020626842061,998,1200,0.202404809619238,5.49286022067693,4.6,0.0230737382928172,10.0836995723166,2.17317441223699,0.0230737382928172,5e-04,9.81,0.0346659054403603,1.66400805054072,1.66400805054072
"15",15,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_30",30,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.126",0.544,0.347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,347,5.44,544,274.72,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,54.4,544,299.2,274.72,0.000544,0.000347,0.00027472,0.632304234947973,0.000372911878595217,998,1200,0.202404809619238,4.68708499769245,4.6,0.0201959840366806,7.53132234719757,2.42049813351808,0.0201959840366806,5e-04,9.81,0.0346659054403603,1.45647313838564,1.45647313838564
"16",16,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_31",31,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.133",0.642,0.343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,343,6.42,642,324.21,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.2,642,353.1,324.21,0.000642,0.000343,0.00032421,0.690894653865931,0.000414844354968167,998,1200,0.202404809619238,5.21412930012693,4.6,0.0231942128097077,9.62198825203758,2.04152396236781,0.0231942128097077,5e-04,9.81,0.0346659054403603,1.6726963074433,1.6726963074433
"17",17,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_2",2,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.388",0.84,0.679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,679,8.4,840,424.2,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,84,840,462,424.2,0.00084,0.000679,0.0004242,0.561689278303249,0.00062312222489372,998,1200,0.202404809619238,7.8319490465959,4.6,0.0283648612868498,17.6747754738636,2.05040893418373,0.0283648612868498,5e-04,9.81,0.0346659054403603,2.04558779920296,2.04558779920296
"18",18,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_5",5,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.045",0.408,0.161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,161,4.08,161,82.54,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,40.8,408,224.4,82.54,0.000408,0.000161,8.254e-05,0.322048621828414,0.000175677779931202,998,1200,0.202404809619238,2.20807309717598,4.6,0.00737820512503148,1.29618669624255,8.54365999020488,0.00737820512503148,5e-04,9.81,0.0346659054403603,0.532093784318215,0.532093784318215
"19",19,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_7",7,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, particle could be flattened.","0","0.505",1.19,0.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,780,11.9,1190,600.95,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,119,1190,654.5,600.95,0.00119,0.00078,0.00060095,0.623760052074596,0.00082317713967708,998,1200,0.202404809619238,10.3464154490286,4.6,0.0377424045933791,31.0686846577129,1.52989893233977,0.0377424045933791,5e-04,9.81,0.0346659054403603,2.72186779156192,2.72186779156192
