,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean,,,,,,,,,,,,,,10th,,,,,,,,,,,,,,90th,,,,,,,,,,,,
,X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,,particle.density,delta,D_dimless,P,W,Re,Cd,W_adj,slope,g,shear_velocity,Rouse,Rouse_adj,,particle.density,delta,D_dimless,P,W,Re,Cd,W_adj,slope,g,shear_velocity,Rouse,Rouse_adj,,particle.density,delta,D_dimless,P,W,Re,Cd,W_adj,slope,g,shear_velocity,Rouse,Rouse_adj
10,10,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_8,8,black,Non-Fiber,Black,0,0,0,0.056,0.447,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,330,4.47,447,225.735,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,44.7,447,245.85,225.735,0.000447,0.00033,0.000225735,0.587743953,0.000321717,998,,1450,0.452905812,5.288904864,4.6,0.027847634,8.959045662,2.457607375,0.027847634,0.002,9.81,0.061535843,1.13135825,1.13135825,,1290,0.29258517,4.572080769,4.6,0.021425696,6.893001929,2.682029919,0.021425696,0.002,9.81,0.061535843,0.870455949,0.870455949,,1610,0.613226453,5.851089629,4.6,0.03340074,10.7455721,2.313076009,0.03340074,0.002,9.81,0.061535843,1.356962795,1.356962795
11,11,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_30,30,black,Non-Fiber,Black,0,0,0,0.133,0.885,0.608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,608,8.85,885,446.925,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,88.5,885,486.75,446.925,0.000885,0.000608,0.000446925,0.609272005,0.000621862,998,,1450,0.452905812,10.22318296,4.6,0.048210144,29.98004382,1.585012202,0.048210144,0.002,9.81,0.061535843,1.958620442,1.958620442,,1290,0.29258517,8.837598598,4.6,0.037092412,23.06635189,1.729751542,0.037092412,0.002,9.81,0.061535843,1.506943373,1.506943373,,1610,0.613226453,11.3098574,4.6,0.057823746,35.95837487,1.491797972,0.057823746,0.002,9.81,0.061535843,2.349189632,2.349189632
12,12,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_34,34,black,Non-Fiber,Black,0,0,0,0.046,0.545,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,358,5.45,545,275.225,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,54.5,545,299.75,275.225,0.000545,0.000358,0.000275225,0.623086176,0.000377273,998,,1450,0.452905812,6.202233371,4.6,0.032760471,12.35964352,2.082433575,0.032760471,0.002,9.81,0.061535843,1.330950778,1.330950778,,1290,0.29258517,5.361622615,4.6,0.025205586,9.509388592,2.272596188,0.025205586,0.002,9.81,0.061535843,1.024020484,1.024020484,,1610,0.613226453,6.861500498,4.6,0.039293248,14.82428437,1.9599661,0.039293248,0.002,9.81,0.061535843,1.596356139,1.596356139
13,13,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_54,54,black,Non-Fiber,Black,0,0,0,0.961,2.482,0.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482,610,24.82,610,317.41,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,248.2,2482,1365.1,317.41,0.002482,0.00061,0.00031741,0.257961444,0.000783281,998,,1450,0.452905812,12.87685206,4.6,0.034622899,27.11944762,3.870848518,0.034622899,0.002,9.81,0.061535843,1.406615136,1.406615136,,1290,0.29258517,11.13160648,4.6,0.026638519,20.86543722,4.2243247,0.026638519,0.002,9.81,0.061535843,1.0822359,1.0822359,,1610,0.613226453,14.24559856,4.6,0.041527064,32.52734618,3.643204741,0.041527064,0.002,9.81,0.061535843,1.687108753,1.687108753
14,14,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_56,56,black,Non-Fiber,Black,0,0,0,0.114,0.481,0.376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,376,4.81,481,242.905,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,48.1,481,264.55,242.905,0.000481,0.000376,0.000242905,0.571176057,0.00035285,998,,1450,0.452905812,5.800722532,4.6,0.029473415,10.39968659,2.406270852,0.029473415,0.002,9.81,0.061535843,1.197408432,1.197408432,,1290,0.29258517,5.014529968,4.6,0.022676557,8.001416942,2.626005474,0.022676557,0.002,9.81,0.061535843,0.921274313,0.921274313,,1610,0.613226453,6.417311017,4.6,0.035350719,12.47349174,2.264758576,0.035350719,0.002,9.81,0.061535843,1.436184068,1.436184068
15,15,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_C_1,1,black,Non-Fiber,Black,0,0,0,0.256,0.87,0.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,520,8.7,870,439.35,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,87,870,478.5,439.35,0.00087,0.00052,0.00043935,0.653204748,0.000583594,998,,1450,0.452905812,9.594080894,4.6,0.047776583,27.88214398,1.514595052,0.047776583,0.002,9.81,0.061535843,1.941006288,1.941006288,,1290,0.29258517,8.293760974,4.6,0.036758835,21.45224832,1.652904075,0.036758835,0.002,9.81,0.061535843,1.493391216,1.493391216,,1610,0.613226453,10.61388485,4.6,0.057303729,33.44213208,1.425522039,0.057303729,0.002,9.81,0.061535843,2.328063033,2.328063033
16,16,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_32,32,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.077,0.754,0.336,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,336,7.54,336,171.77,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,75.4,754,414.7,171.77,0.000754,0.000336,0.00017177,0.3412652,0.000351738,998,,1450,0.452905812,5.782446366,4.6,0.021583769,7.591832112,4.472809334,0.021583769,0.002,9.81,0.067175889,0.803255803,0.803255803,,1290,0.29258517,4.998730836,4.6,0.01660634,5.841081224,4.881255069,0.01660634,0.002,9.81,0.067175889,0.618017142,0.618017142,,1610,0.613226453,6.397092184,4.6,0.025887796,9.105722016,4.20976437,0.025887796,0.002,9.81,0.067175889,0.963433324,0.963433324
17,17,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_44,44,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.082,0.708,0.368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,368,7.08,708,357.54,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,70.8,708,389.4,357.54,0.000708,0.000368,0.00035754,0.700461222,0.000453317,998,,1450,0.452905812,7.45236649,4.6,0.04070508,18.45230037,1.620766004,0.04070508,0.002,9.81,0.067175889,1.514869427,1.514869427,,1290,0.29258517,6.442320744,4.6,0.03131809,14.19701906,1.768770292,0.03131809,0.002,9.81,0.067175889,1.16552569,1.16552569,,1610,0.613226453,8.244516664,4.6,0.048822094,22.13188006,1.5254491,0.048822094,0.002,9.81,0.067175889,1.81695007,1.81695007
18,18,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_21,21,black,Non-Fiber,Black,0,"bounces back, could make dents.",done,0.256,1.12,0.464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,464,11.2,464,237.6,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,112,1120,616,237.6,0.00112,0.000464,0.0002376,0.329593346,0.00049796,998,,1450,0.452905812,8.186277207,4.6,0.027915088,13.90058745,3.785574248,0.027915088,0.002,9.81,0.067175889,1.038880505,1.038880505,,1290,0.29258517,7.07676193,4.6,0.021477595,10.69497575,4.131263398,0.021477595,0.002,9.81,0.067175889,0.799304479,0.799304479,,1610,0.613226453,9.056438506,4.6,0.033481646,16.67250847,3.562945433,0.033481646,0.002,9.81,0.067175889,1.246044031,1.246044031
19,19,tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_44,44,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.107,0.55,0.366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,366,5.5,550,277.75,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,55,550,302.5,277.75,0.00055,0.000366,0.00027775,0.619059197,0.000382384,998,,1450,0.452905812,6.286249023,4.6,0.032986434,12.61347188,2.081824875,0.032986434,0.002,9.81,0.067175889,1.227614336,1.227614336,,1290,0.29258517,5.434251326,4.6,0.025379439,9.704681645,2.271931903,0.025379439,0.002,9.81,0.067175889,0.944514439,0.944514439,,1610,0.613226453,6.954446603,4.6,0.03956427,15.12872873,1.959393198,0.03956427,0.002,9.81,0.067175889,1.472413342,1.472413342
