"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","polymer","plastic_or_not","Length..microns.","Width..microns.","material.1","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"11",11,"PP","fiber","POLY(PROPYLENE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_B_13",13,"blue","Fiber","Blue",0,"0","0",0.022,2.741,0.638,2.741,"Y","SDC-BF-4-N-1_S0-0_B_13.SPA","Y",0.8,"PP 9. White Fork Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",2741,638,NA,2.741,638,320.3705,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,2.741,1370.5,686.6205,320.3705,0.002741,0.000638,0.0003203705,0.242263318528186,0.0003203705,998,1000,0.00200400801603218,0.864653305888818,NA,0.000970130464419674,0.310801181951363,8.92276452656298,0.000970130464419674,0.002,9.81,0.0542494239600754,0.0447069477241656,0.0447069477241656
"12",12,"Polyesters","fiber","POLYESTERS","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_B_15",15,"red","Fiber","Red",0,"0","0",0.016,2.053,0.523,2.053,"Y","SDC-BF-4-N-1_S0-0_B_15.SPA","Y",0.8,"PEST","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYESTERS","0","plastic",2053,523,NA,2.053,1026.5,514.2765,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,2.053,1026.5,514.2765,514.2765,0.002053,0.000523,0.0005142765,0.496308096907001,0.0005142765,998,1270,0.272545090180361,7.13782347011301,NA,0.0312544522771769,16.0734303265235,1.8768043501472,0.0312544522771769,0.002,9.81,0.0542494239600754,1.44031263355803,1.44031263355803
"13",13,"PE","fiber","POLY(ETHYLENE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_B_17",17,"gray","Fiber","Black",0,"0","0",10.082,8.282,4.239,0,"Y","SDC-BF-4-N-1_S0-0_B_17.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",8282,4239,NA,8.282,4141,2074.641,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,8.282,4141,2074.641,2074.641,0.008282,0.004239,0.002074641,0.350141537957113,0.002074641,998,1270,0.272545090180361,28.7946682803098,NA,0.0887954446214408,184.218670024871,0.938010480228853,0.0887954446214408,0.002,9.81,0.0542494239600754,4.09199942320076,4.09199942320076
"14",14,"PVC","fiber","POLY(VINYL CHLORIDE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_12",12,"brown","Fiber","Black",0,"0","0",0.262,2.758,2.28,0,"Y","SDC-BF-4-N-2_S0-0_A_12.SPA","Y",0.7,"PVC.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyhaloolefins (Vinylhalides)","POLY(VINYL CHLORIDE)","plastic",2758,2280,NA,2.758,1379,690.879,1.33e-09,1.33e-09,1.33e-09,1.33e-09,1.33e-09,2.758,1379,690.879,690.879,0.002758,0.00228,0.000690879,0.275510044950127,0.000690879,998,1330,0.332665330661323,10.2477260887042,NA,0.0472296869475185,32.6299988886146,1.34768112084299,0.0472296869475185,0.002,9.81,0.0686206965863798,1.72067937579392,1.72067937579392
"15",15,"PVC","fiber","POLY(VINYL CHLORIDE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_13",13,"brown","Fiber","Black",0,"0","0",0.064,7.497,0.727,7.497,"Y","SDC-BF-4-N-2_S0-0_A_13.SPA","Y",0.7,"PVC.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyhaloolefins (Vinylhalides)","POLY(VINYL CHLORIDE)","plastic",7497,727,NA,7.497,727,367.2485,1.33e-09,1.33e-09,1.33e-09,1.33e-09,1.33e-09,7.497,3748.5,1877.9985,367.2485,0.007497,0.000727,0.0003672485,0.157307369840304,0.0003672485,998,1330,0.332665330661323,5.44735334912115,NA,0.029617425380526,10.8769550448601,1.82171616110833,0.029617425380526,0.002,9.81,0.0686206965863798,1.07902669507455,1.07902669507455
"16",16,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_18",18,"black","Fiber","Black",0,"0","0",0.083,1.565,0.4,0,"Y","SDC-BF-4-N-2_S0-0_A_18.SPA","Y",0.8,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1565,400,NA,1.565,782.5,392.0325,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.565,782.5,392.0325,392.0325,0.001565,4e-04,0.0003920325,0.495490013143555,0.0003920325,998,1460,0.462925851703407,6.49205543104762,NA,0.0346290965287738,13.5757312849165,1.97951559878497,0.0346290965287738,0.002,9.81,0.0686206965863798,1.26161268580182,1.26161268580182
"17",17,"PET","fiber bundle","POLY(ETHYLENE TEREPHTHALATE)","fiber bundle","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_26",26,"black","Fiber","Black",0,"0","0",0.031,0.65,0.396,3.91,"Y","SDC-BF-4-N-2_S0-0_A_26.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",650,396,NA,0.65,65,32.825,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,65,650,357.5,32.825,0.00065,0.000396,3.2825e-05,0.0646994313278055,3.2825e-05,998,1460,0.462925851703407,0.543581768154778,NA,0.00383745946929711,0.125964607079678,13.4969708497416,0.00383745946929711,0.002,9.81,0.0686206965863798,0.139806926342788,0.139806926342788
"18",18,"PE","fiber","POLY(ETHYLENE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_28",28,"brown","Fiber","Black",0,"0","0",0.103,2.152,0.183,0,"Y","SDC-BF-4-N-2_S0-0_A_28.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",2152,183,NA,2.152,183,92.576,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,2.152,1076,539.076,92.576,0.002152,0.000183,9.2576e-05,0.147520281897127,9.2576e-05,998,1270,0.272545090180361,1.28489469296999,NA,0.00737139947976101,0.682414678238356,6.0735781414758,0.00737139947976101,0.002,9.81,0.0686206965863798,0.268555984071143,0.268555984071143
"19",19,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_29",29,"red","Fiber","Red",0,"0","0",0.106,12.785,1.362,12.785,"Y","SDC-BF-4-N-2_S0-0_A_29.SPA","Y",0.8,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",12785,1362,NA,12.785,1362,687.3925,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,12.785,6392.5,3202.6425,687.3925,0.012785,0.001362,0.0006873925,0.164727409720873,0.0006873925,998,1460,0.462925851703407,11.3832149448997,NA,0.0605779674210463,41.6408404704716,1.13421287524787,0.0605779674210463,0.002,9.81,0.0686206965863798,2.20698602734201,2.20698602734201
"20",20,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_35",35,"brown","Fiber","Black",0,"0","0",0.205,4.514,0.466,0,"Y","SDC-BF-4-N-2_S0-0_A_35.SPA","Y",0.7,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",4514,466,NA,4.514,466,235.257,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,4.514,2257,1130.757,235.257,0.004514,0.000466,0.000235257,0.162206711188367,0.000235257,998,1460,0.462925851703407,3.89585425836371,NA,0.0245833042558536,5.78339440931935,2.35711743566703,0.0245833042558536,0.002,9.81,0.0686206965863798,0.895622803278749,0.895622803278749
"21",21,"PP","fiber bundle","POLY(PROPYLENE)","fiber bundle","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_36",36,"blue","Fiber","Blue",0,"0","0",0.635,1.447,1.097,0,"Y","SDC-BF-4-N-2_S0-0_A_36.SPA","Y",0.8,"PP 52. White Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",1447,1097,NA,1.447,144.7,73.0735,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,144.7,1447,795.85,73.0735,0.001447,0.001097,7.30735e-05,0.0579992436218873,7.30735e-05,998,1000,0.00200400801603218,0.197219292499985,NA,0.000228799028928982,0.016719145840442,36.5896920061114,0.000228799028928982,0.002,9.81,0.0686206965863798,0.00833564217178158,0.00833564217178158
"22",22,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_40",40,"black","Fiber","Black",0,"0","0",0.118,2.477,0.666,0,"Y","SDC-BF-4-N-2_S0-0_A_40.SPA","Y",0.7,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",2477,666,NA,2.477,1238.5,620.4885,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,2.477,1238.5,620.4885,620.4885,0.002477,0.000666,0.0006204885,0.483096197263869,0.0006204885,998,1460,0.462925851703407,10.2752851774473,NA,0.0493182635799275,30.6014153913139,1.54467586298437,0.0493182635799275,0.002,9.81,0.0686206965863798,1.79677072783157,1.79677072783157
"23",23,"PP","fiber","POLY(PROPYLENE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_42",42,"blue","Fiber","Blue",0,"thin and long particle, too thick to be a fiber, hard surface","done",0.105,12.281,1.719,12.281,"Y","SDC-BF-4-N-2_S0-0_A_42.SPA","Y",0.9,"PP 9. White Fork Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",12281,1719,NA,12.281,1719,865.6405,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,12.281,6140.5,3076.3905,865.6405,0.012281,0.001719,0.0008656405,0.188400808934031,0.0008656405,998,1000,0.00200400801603218,2.33629163745179,NA,0.00250067170355373,2.1646827038001,3.6285357462698,0.00250067170355373,0.002,9.81,0.0686206965863798,0.0911048644196535,0.0911048644196535
"24",24,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.21,"BF-4","SDC-BF-4-N-3","SDC-BF-4","SDC-BF-4-N-3_S0-0_A_1",1,"brown","Fiber","Black",0,"0","0",0.268,3.488,0.587,0,"Y","SDC-BF-4-N-3_S0-0_A_1.SPA","Y",0.8,"PET.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",3488,587,NA,3.488,587,295.244,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,3.488,1744,873.744,295.244,0.003488,0.000587,0.000295244,0.206335422602394,0.000295244,998,1460,0.462925851703407,4.88923855467142,NA,0.0295666976246683,8.72939007349758,2.04500615342543,0.0295666976246683,0.002,9.81,0.0641887840670004,1.15155233326303,1.15155233326303
"25",25,"PE","fiber","POLY(ETHYLENE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.21,"BF-4","SDC-BF-4-N-3","SDC-BF-4","SDC-BF-4-N-3_S0-0_A_34",34,"green","Fiber","Green",0,"very thin sheet particle","done",0.135,1.023,0.426,0,"Y","SDC-BF-4-N-3_S0-0_A_34.SPA","Y",0.9,"Polyethylene, low Mw ~4,000 by GPC","NIST Chem Web Book","0","Reflectance","0","Polymer, Minerals, Organic Materials","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",1023,426,NA,1.023,511.5,256.2615,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,1.023,511.5,256.2615,256.2615,0.001023,0.000426,0.0002562615,0.388186785753718,0.0002562615,998,1270,0.272545090180361,3.55674301506362,NA,0.0180324469455442,4.62102190293558,2.80944247739748,0.0180324469455442,0.002,9.81,0.0641887840670004,0.70232078733264,0.70232078733264
"26",26,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.21,"BF-4","SDC-BF-4-N-3","SDC-BF-4","SDC-BF-4-N-3_S0-0_A_45",45,"blue","Fiber","Blue",0,"long and thin particle, hard surface","done",0.106,1.581,0.776,0,"Y","SDC-BF-4-N-3_S0-0_A_45.SPA","Y",0.7,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1581,776,NA,1.581,790.5,396.0405,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.581,790.5,396.0405,396.0405,0.001581,0.000776,0.0003960405,0.357554958017054,0.0003960405,998,1460,0.462925851703407,6.55842788273884,NA,0.0360899016044298,14.2930626763692,1.84114241198928,0.0360899016044298,0.002,9.81,0.0641887840670004,1.40561556543738,1.40561556543738
"27",27,"PE","fiber","POLY(ETHYLENE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.21,"BF-4","SDC-BF-4-N-3","SDC-BF-4","SDC-BF-4-N-3_S0-0_B_3",3,"black","Fiber","Black",0,"0","0",0.156,2.117,0.986,0,"Y","SDC-BF-4-N-3_S0-0_B_3.SPA","Y",0.7,"MDPE","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",2117,986,NA,2.117,1058.5,530.3085,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,2.117,1058.5,530.3085,530.3085,0.002117,0.000986,0.0005303085,0.36705378072045,0.0005303085,998,1270,0.272545090180361,7.36033720712579,NA,0.0330754587794396,17.5401969321365,1.72807640820676,0.0330754587794396,0.002,9.81,0.0641887840670004,1.28821020915879,1.28821020915879
"28",28,"PVC","fiber","POLY(VINYL CHLORIDE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.21,"BF-4","SDC-BF-4-N-3","SDC-BF-4","SDC-BF-4-N-3_S0-0_B_9",9,"gray","Fiber","Black",0,"0","0",0.13,2.494,0.317,0,"Y","SDC-BF-4-N-3_S0-0_B_9.SPA","Y",0.7,"PVC.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyhaloolefins (Vinylhalides)","POLY(VINYL CHLORIDE)","plastic",2494,317,NA,2.494,317,159.747,1.33e-09,1.33e-09,1.33e-09,1.33e-09,1.33e-09,2.494,1247,624.747,159.747,0.002494,0.000317,0.000159747,0.179661431331955,0.000159747,998,1330,0.332665330661323,2.36950826337495,NA,0.0139490105960885,2.22831259569336,3.57240911700529,0.0139490105960885,0.002,9.81,0.0641887840670004,0.543280683644379,0.543280683644379
