"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"11","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_16",16,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, particle can be flattened.","0","0.168",0.744,0.346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,346,7.44,346,176.72,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,74.4,744,409.2,176.72,0.000744,0.000346,0.00017672,0.348306184391906,0.000356980844329927,998,1290,0.292585170340681,5.07323934102445,4.6,0.0170112380105165,6.07268610809153,4.72099047885251,0.0170112380105165,0.001,9.81,0.0490249936257008,0.867477828778266,0.867477828778266
"12","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_21",21,"black","Non-Fiber","Black",0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.","done","1.774",1.906,1.542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,1542,19.06,1906,962.53,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,190.6,1906,1048.3,962.53,0.001906,0.001542,0.00096253,0.561449422437944,0.0014142966569596,998,1290,0.292585170340681,20.0993009959254,4.6,0.0681494060535412,96.3834771553057,1.16540376995299,0.0681494060535412,0.001,9.81,0.0490249936257008,3.47523788446832,3.47523788446832
"13","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_22",22,"black","Non-Fiber","Black",0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.","done","2.313",3.285,1.322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285,1322,32.85,1322,677.425,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,328.5,3285,1806.75,677.425,0.003285,0.001322,0.000677425,0.325070684299988,0.00143287844537302,998,1290,0.292585170340681,20.3633763980174,4.6,0.0496132232144822,71.0897181495121,2.22779137614488,0.0496132232144822,0.001,9.81,0.0490249936257008,2.529996413323,2.529996413323
"14","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_24",24,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.143",0.642,0.401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,401,6.42,642,324.21,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.2,642,353.1,324.21,0.000642,0.000401,0.00032421,0.638979177303479,0.000437020626842061,998,1290,0.292585170340681,6.21072607157941,4.6,0.0287830526210758,12.5787876988906,2.01877671314629,0.0287830526210758,0.001,9.81,0.0490249936257008,1.46777441935182,1.46777441935182
"15","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_30",30,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.126",0.544,0.347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,347,5.44,544,274.72,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,54.4,544,299.2,274.72,0.000544,0.000347,0.00027472,0.632304234947973,0.000372911878595217,998,1290,0.292585170340681,5.29964350545402,4.6,0.0251932332717469,9.39485594725468,2.24852880590032,0.0251932332717469,0.001,9.81,0.0490249936257008,1.28471374540576,1.28471374540576
"16","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_31",31,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.133",0.642,0.343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,343,6.42,642,324.21,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.2,642,353.1,324.21,0.000642,0.000343,0.00032421,0.690894653865931,0.000414844354968167,998,1290,0.292585170340681,5.89556760665093,4.6,0.0289333370836606,12.0028315595477,1.89647964348884,0.0289333370836606,0.001,9.81,0.0490249936257008,1.47543808493698,1.47543808493698
"17","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_2",2,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.388",0.84,0.679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,679,8.4,840,424.2,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,84,840,462,424.2,0.00084,0.000679,0.0004242,0.561689278303249,0.00062312222489372,998,1290,0.292585170340681,8.85551209766268,4.6,0.0353833992848513,22.0481824866794,1.90473336399003,0.0353833992848513,0.001,9.81,0.0490249936257008,1.80435511909491,1.80435511909491
"18","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_5",5,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.045",0.408,0.161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,161,4.08,161,82.54,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,40.8,408,224.4,82.54,0.000408,0.000161,8.254e-05,0.322048621828414,0.000175677779931202,998,1290,0.292585170340681,2.49664775756735,4.6,0.00920385174122312,1.61691224071401,7.9366578844958,0.00920385174122312,0.001,9.81,0.0490249936257008,0.469344871898062,0.469344871898062
"19","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_7",7,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, particle could be flattened.","0","0.505",1.19,0.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,780,11.9,1190,600.95,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,119,1190,654.5,600.95,0.00119,0.00078,0.00060095,0.623760052074596,0.00082317713967708,998,1290,0.292585170340681,11.6985959218082,4.6,0.0470813009869033,38.7562506786748,1.42120407855146,0.0470813009869033,0.001,9.81,0.0490249936257008,2.40088256545032,2.40088256545032
"20","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_9",9,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.187",0.852,0.444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,444,8.52,852,430.26,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,85.2,852,468.6,430.26,0.000852,0.000444,0.00043026,0.699551497244697,0.000545989778820856,998,1290,0.292585170340681,7.75934302836482,4.6,0.0363147203392708,19.8274661259797,1.58445226160646,0.0363147203392708,0.001,9.81,0.0490249936257008,1.85184727490884,1.85184727490884
