"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1202",1202,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_44",44,"black","Non-Fiber","Black",0,"0","done","0.13",0.695,0.308,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,308,6.95,308,157.475,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,69.5,695,382.25,157.475,0.000695,0.000308,0.000157475,0.34036418619493,0.000323034603161469,998,1450,0.452905811623247,5.31057255049629,4.6,0.0201308531322395,6.50296215287481,4.72215591888455,0.0201308531322395,0.002,9.81,0.140071410359145,0.359296252544037,0.359296252544037
"1203",1203,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_45",45,"black","Non-Fiber","Black",0,"squishy when touched","done","0.435",0.988,0.656,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,988,656,9.88,988,498.94,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,98.8,988,543.4,498.94,0.000988,0.000656,0.00049894,0.619751991112417,0.000686388031624802,998,1450,0.452905811623247,11.2839720700567,4.6,0.0527088025449069,36.178691228099,1.46358867374246,0.0527088025449069,0.002,9.81,0.140071410359145,0.940748765393323,0.940748765393323
"1204",1204,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_46",46,"black","Non-Fiber","Black",0,"squishy when touched","done","0.513",1.157,0.711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157,711,11.57,1157,584.285,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,115.7,1157,636.35,584.285,0.001157,0.000711,0.000584285,0.644203762830525,0.000783326042903126,998,1450,0.452905811623247,12.8775980678791,4.6,0.0599604158892159,46.9685553093252,1.29071075872984,0.0599604158892159,0.002,9.81,0.140071410359145,1.0701758434408,1.0701758434408
"1205",1205,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_48",48,"black","Non-Fiber","Black",0,"0","done","0.286",0.896,0.576,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,576,8.96,896,452.48,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,89.6,896,492.8,452.48,0.000896,0.000576,0.00045248,0.629845660106947,0.000615805117415282,998,1450,0.452905811623247,10.1236143775164,4.6,0.0487968456821582,30.0493472847968,1.53205879570201,0.0487968456821582,0.002,9.81,0.140071410359145,0.870928006597535,0.870928006597535
"1206",1206,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_52",52,"black","Non-Fiber","Black",0,"0","done","0.155",0.633,0.403,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633,403,6.33,633,319.665,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,63.3,633,348.15,319.665,0.000633,0.000403,0.000319665,0.632908181926399,0.000433645271092318,998,1450,0.452905811623247,7.1289721001322,4.6,0.0369665352511558,16.0303632003312,1.87989138325527,0.0369665352511558,0.002,9.81,0.140071410359145,0.659780164210046,0.659780164210046
"1207",1207,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_59",59,"black","Non-Fiber","Black",0,"squishy when touched","done","0.103",0.44,0.378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,378,4.4,440,222.2,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,44,440,242,222.2,0.00044,0.000378,0.0002222,0.544843553099876,0.000333090958027571,998,1450,0.452905811623247,5.47589540317929,4.6,0.0273596157991309,9.11324063779879,2.63607943012238,0.0273596157991309,0.002,9.81,0.140071410359145,0.488315490808946,0.488315490808946
"1208",1208,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_62",62,"black","Non-Fiber","Black",0,"0","done","0.065",0.441,0.321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,321,4.41,441,222.705,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,44.1,441,242.55,222.705,0.000441,0.000321,0.000222705,0.591913379303197,0.000315905991720835,998,1450,0.452905811623247,5.19338074544109,4.6,0.0275611804276846,8.70674203600459,2.46364354857619,0.0275611804276846,0.002,9.81,0.140071410359145,0.491913024167768,0.491913024167768
"1209",1209,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_63",63,"black","Non-Fiber","Black",0,"0","done","0.126",0.564,0.334,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564,334,5.64,564,284.82,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,56.4,564,310.2,284.82,0.000564,0.000334,0.00028482,0.656232442023458,0.000377165549884055,998,1450,0.452905811623247,6.20046582194144,4.6,0.0337875624799023,12.7435045819742,1.95719425158267,0.0337875624799023,0.002,9.81,0.140071410359145,0.603041734092463,0.603041734092463
"1210",1210,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_64",64,"black","Non-Fiber","Black",0,"0","done","0.093",0.508,0.381,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,381,5.08,508,256.54,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,50.8,508,279.4,256.54,0.000508,0.000381,0.00025654,0.583123771881522,0.00036754844760888,998,1450,0.452905811623247,6.04236412367746,4.6,0.0308322168461001,11.3323334381245,2.2904495312247,0.0308322168461001,0.002,9.81,0.140071410359145,0.55029460985375,0.55029460985375
"1211",1211,"tire wear","rubbery fragment","tire wear","TRWP","SAD","Stormflow","2","C","Inside Thalweg",1,"SF-4","SAD-SF-4-N-2","SAD-SF-4","SAD-SF-4-N-2_S1-5_D_68",68,"black","Non-Fiber","Black",0,"0","done","0.214",1.016,0.425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,425,10.16,425,217.58,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,101.6,1016,558.8,217.58,0.001016,0.000425,0.00021758,0.331114083601748,0.000454604646308573,998,1450,0.452905811623247,7.47353668116984,4.6,0.0260249748110224,11.8310744691543,3.97620596024695,0.0260249748110224,0.002,9.81,0.140071410359145,0.464494766353355,0.464494766353355
