,X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1889,1889,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_22,22,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",0,0.144,0.706,0.337,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706,337,7.06,337,172.03,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,70.6,706,388.3,172.03,0.000706,0.000337,0.00017203,0.352684918,0.000344625,998,1450,0.021657373,0.354342137,1290,0.01666297,0.272627368,1610,0.025976077,0.425001627
1890,1890,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_27,27,black,Non-Fiber,Black,0,"rubbery texture, could make dents.",0,0.154,0.758,0.351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,351,7.58,351,179.29,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,75.8,758,416.9,179.29,0.000758,0.000351,0.00017929,0.347590506,0.000362669,998,1450,0.022363821,0.365900529,1290,0.017206505,0.281520281,1610,0.026823399,0.438864881
1891,1891,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_37,37,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.147,0.522,0.396,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,396,5.22,522,263.61,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,52.2,522,287.1,263.61,0.000522,0.000396,0.00026361,0.579801102,0.000379119,998,1450,0.031498128,0.515349387,1290,0.024234351,0.396504767,1610,0.03777918,0.618115389
1892,1892,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_42,42,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",0,0.079,0.498,0.226,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,226,4.98,226,115.49,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,49.8,498,273.9,115.49,0.000498,0.000226,0.00011549,0.344251222,0.000235122,998,1450,0.015720167,0.257201913,1290,0.012094943,0.197888631,1610,0.018854932,0.308490636
1893,1893,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_45,45,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.114,0.506,0.363,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,363,5.06,506,255.53,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,50.6,506,278.3,255.53,0.000506,0.000363,0.00025553,0.596229313,0.000360717,998,1450,0.030780644,0.503610443,1290,0.023682326,0.387472939,1610,0.036918623,0.604035578
1894,1894,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_51,51,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.071,0.387,0.286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,286,3.87,387,195.435,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,38.7,387,212.85,195.435,0.000387,0.000286,0.000195435,0.587440445,0.000278629,998,1450,0.024813961,0.405987928,1290,0.019091618,0.312363133,1610,0.029762122,0.486946123
1895,1895,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_52,52,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.121,0.565,0.304,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565,304,5.65,565,285.325,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,56.5,565,310.75,285.325,0.000565,0.000304,0.000285325,0.688460155,0.000365949,998,1450,0.033943796,0.555363633,1290,0.026116024,0.427291337,1610,0.04071254,0.66610889
1896,1896,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_53,53,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.117,0.456,0.385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,385,4.56,456,230.28,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,45.6,456,250.8,230.28,0.000456,0.000385,0.00023028,0.549595837,0.000343211,998,1450,0.028168983,0.460880353,1290,0.021672939,0.354596827,1610,0.03378617,0.552784666
1897,1897,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_58,58,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.211,0.627,0.554,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627,554,6.27,627,316.635,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,62.7,627,344.85,316.635,0.000627,0.000554,0.000316635,0.537242382,0.000479121,998,1450,0.036287338,0.593706963,1290,0.027919123,0.456792319,1610,0.043523409,0.712098277
1898,1898,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_62,62,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.08,0.422,0.266,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,266,4.22,422,213.11,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,42.2,422,232.1,213.11,0.000422,0.000266,0.00021311,0.636072743,0.000288137,998,1450,0.026734997,0.437418525,1290,0.020569645,0.336545526,1610,0.032066233,0.524644306
1899,1899,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_63,63,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.124,0.669,0.324,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,324,6.69,324,165.345,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.9,669,367.95,165.345,0.000669,0.000324,0.000165345,0.355144835,0.000329701,998,1450,0.020991164,0.343442109,1290,0.016150396,0.264240993,1610,0.025177019,0.411928021
1900,1900,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1.19,SF-2,SAD-SF-2-N-2,SAD-SF-2,SAD-SF-2-N-2_S0-0_R_65,65,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.114,0.668,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,313,6.68,313,159.84,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.8,668,367.4,159.84,0.000668,0.000313,0.00015984,0.349562689,0.000322108,998,1450,0.020408606,0.333910727,1290,0.015702182,0.256907641,1610,0.024478293,0.400495982
