"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_13",13,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.498",1.178,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,570,11.78,570,290.89,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,117.8,1178,647.9,290.89,0.001178,0.00057,0.00029089,0.354992124704409,0.000580207020233147,998,1610,0.613226452905812,10.5522792428359,4.6,0.0395605241105464,22.9532938130417,2.97363411688332,0.0395605241105464,0.002,9.81,0.0693318108807205,1.42649252947564,1.42649252947564
"2","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_23",23,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents in the particle.","0","0.901",1.405,0.947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,947,14.05,1405,709.525,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,140.5,1405,772.75,709.525,0.001405,0.000947,0.000709525,0.615112497330123,0.000980990199309239,998,1610,0.613226452905812,17.8413603362412,4.6,0.0837469284069855,82.1549159895053,1.12190354080713,0.0837469284069855,0.002,9.81,0.0693318108807205,3.01978728606501,3.01978728606501
"3","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_38",38,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.826,0.458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,458,8.26,826,417.13,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,82.6,826,454.3,417.13,0.000826,0.000458,0.00041713,0.678185754075215,0.000540387942584029,998,1610,0.613226452905812,9.82808596027825,4.6,0.0551109807736574,29.7813095140647,1.4271117938009,0.0551109807736574,0.002,9.81,0.0693318108807205,1.98721842375036,1.98721842375036
"4","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_39",39,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.874,0.468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,468,8.74,874,441.37,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,87.4,874,480.7,441.37,0.000874,0.000468,0.00044137,0.690119291682342,0.000565179887732961,998,1610,0.613226452905812,10.2789793811808,4.6,0.0577255768990235,32.6253350711105,1.36043801785974,0.0577255768990235,0.002,9.81,0.0693318108807205,2.08149679655474,2.08149679655474
"5","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_6",6,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.096",0.572,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,374,5.72,572,288.86,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,57.2,572,314.6,288.86,0.000572,0.000374,0.00028886,0.624530411824851,0.000395352976326789,998,1610,0.613226452905812,7.19032148906123,4.6,0.040849297012603,16.1498911547896,1.90039755683493,0.040849297012603,0.002,9.81,0.0693318108807205,1.47296372666801,1.47296372666801
"6","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_8",8,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, breaks apart easily.","done","0.093",0.568,0.231,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,231,5.68,231,118.34,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,56.8,568,312.4,118.34,0.000568,0.000231,0.00011834,0.326701709626288,0.000249477065427074,998,1610,0.613226452905812,4.53726267912423,4.6,0.0191593057392218,4.77980737144116,5.45129539232785,0.0191593057392218,0.002,9.81,0.0693318108807205,0.690855521291077,0.690855521291077
"7","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_11",11,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.236",0.94,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,370,9.4,370,189.7,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,94,940,517,189.7,0.00094,0.00037,0.0001897,0.321664062078222,0.000404078400299461,998,1610,0.613226452905812,7.34901158942365,4.6,0.0279176241583771,11.2809089100786,4.15850615402553,0.0279176241583771,0.002,9.81,0.0693318108807205,1.00666720671724,1.00666720671724
"8","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_12",12,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.461",1.138,0.615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,615,11.38,1138,574.69,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,113.8,1138,625.9,574.69,0.001138,0.000615,0.00057469,0.686949720648598,0.000738159714002767,998,1610,0.613226452905812,13.4249796302691,4.6,0.0712754001704099,52.6126290052225,1.16546607288292,0.0712754001704099,0.002,9.81,0.0693318108807205,2.57008288349172,2.57008288349172
"9","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_14",14,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","3.857",2.92,1.838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1838,29.2,2920,1474.6,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,292,2920,1606,1474.6,0.00292,0.001838,0.0014746,0.636517063171427,0.00199281750475874,998,1610,0.613226452905812,36.243558000687,4.6,0.150703894577928,300.325359150211,0.703796661980704,0.150703894577928,0.002,9.81,0.0693318108807205,5.43415398586664,5.43415398586664
"10","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_15",15,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.109",0.463,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,358,4.63,463,233.815,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,46.3,463,254.65,233.815,0.000463,0.000358,0.000233815,0.574302041782485,0.000338411772201157,998,1610,0.613226452905812,6.1547264938205,4.6,0.0343008599328646,11.6078147979044,2.30708752559642,0.0343008599328646,0.002,9.81,0.0693318108807205,1.23683701237359,1.23683701237359
"11","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_16",16,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, particle can be flattened.","0","0.168",0.744,0.346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,346,7.44,346,176.72,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,74.4,744,409.2,176.72,0.000744,0.000346,0.00017672,0.348306184391906,0.000356980844329927,998,1610,0.613226452905812,6.49244394216231,4.6,0.0265189951211719,9.46677326913718,4.07154660600771,0.0265189951211719,0.002,9.81,0.0693318108807205,0.956234763822757,0.956234763822757
"12","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_21",21,"black","Non-Fiber","Black",0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.","done","1.774",1.906,1.542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,1542,19.06,1906,962.53,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,190.6,1906,1048.3,962.53,0.001906,0.001542,0.00096253,0.561449422437944,0.0014142966569596,998,1610,0.613226452905812,25.7219453333227,4.6,0.106238814925014,150.253200787797,1.00508479850483,0.106238814925014,0.002,9.81,0.0693318108807205,3.83081061836784,3.83081061836784
"13","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_22",22,"black","Non-Fiber","Black",0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.","done","2.313",3.285,1.322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285,1322,32.85,1322,677.425,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,328.5,3285,1806.75,677.425,0.003285,0.001322,0.000677425,0.325070684299988,0.00143287844537302,998,1610,0.613226452905812,26.0598940539206,4.6,0.0773425675166673,110.82249790444,1.92132486965757,0.0773425675166673,0.002,9.81,0.0693318108807205,2.78885574075545,2.78885574075545
"14","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_24",24,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.143",0.642,0.401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,401,6.42,642,324.21,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.2,642,353.1,324.21,0.000642,0.000401,0.00032421,0.638979177303479,0.000437020626842061,998,1610,0.613226452905812,7.9481349389112,4.6,0.0448701988390773,19.6092024231815,1.74106334497333,0.0448701988390773,0.002,9.81,0.0693318108807205,1.61795135123013,1.61795135123013
"15","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_30",30,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.126",0.544,0.347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,347,5.44,544,274.72,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,54.4,544,299.2,274.72,0.000544,0.000347,0.00027472,0.632304234947973,0.000372911878595217,998,1610,0.613226452905812,6.78218314960412,4.6,0.0392739922753993,14.6457382393532,1.93920955129721,0.0392739922753993,0.002,9.81,0.0693318108807205,1.41616062585495,1.41616062585495
"16","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_31",31,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.133",0.642,0.343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,343,6.42,642,324.21,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,64.2,642,353.1,324.21,0.000642,0.000343,0.00032421,0.690894653865931,0.000414844354968167,998,1610,0.613226452905812,7.54481301205077,4.6,0.0451044788443074,18.711338432342,1.63559009288375,0.0451044788443074,0.002,9.81,0.0693318108807205,1.62639913307276,1.62639913307276
"17","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_2",2,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.388",0.84,0.679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,679,8.4,840,424.2,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,84,840,462,424.2,0.00084,0.000679,0.0004242,0.561689278303249,0.00062312222489372,998,1610,0.613226452905812,11.3327820763933,4.6,0.0551595476134874,34.3711400330474,1.64270838889475,0.0551595476134874,0.002,9.81,0.0693318108807205,1.98896967037197,1.98896967037197
"18","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_5",5,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.045",0.408,0.161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,161,4.08,161,82.54,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,40.8,408,224.4,82.54,0.000408,0.000161,8.254e-05,0.322048621828414,0.000175677779931202,998,1610,0.613226452905812,3.19506818419847,4.6,0.0143479798043267,2.52062123852185,6.84485016807693,0.0143479798043267,0.002,9.81,0.0693318108807205,0.517366401586251,0.517366401586251
"19","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_7",7,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, particle could be flattened.","0","0.505",1.19,0.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,780,11.9,1190,600.95,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,119,1190,654.5,600.95,0.00119,0.00078,0.00060095,0.623760052074596,0.00082317713967708,998,1610,0.613226452905812,14.9711994879018,4.6,0.0733955277327995,60.4175205841758,1.22569589334927,0.0733955277327995,0.002,9.81,0.0693318108807205,2.64653146948196,2.64653146948196
"20","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_C_9",9,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.187",0.852,0.444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,444,8.52,852,430.26,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,85.2,852,468.6,430.26,0.000852,0.000444,0.00043026,0.699551497244697,0.000545989778820856,998,1610,0.613226452905812,9.92996707888293,4.6,0.056611393650979,30.9092422982385,1.36648681182959,0.056611393650979,0.002,9.81,0.0693318108807205,2.04132103762492,2.04132103762492
