,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1383,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_19,19,black,Non-Fiber,Black,0,0,0,0.181,0.767,0.427,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767,427,7.67,767,387.335,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,76.7,767,421.85,387.335,0.000767,0.000427,0.000387335,0.676823022,0.000502462,998,1450,0.043297654,1.092873436,1290,0.033312791,0.840846111,1610,0.051931654,1.310803711
1384,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_27,27,black,Non-Fiber,Black,0,0,0,0.081,0.45,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,300,4.5,450,227.25,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,45,450,247.5,227.25,0.00045,3.00E-04,0.00022725,0.61849616,0.000313049,998,1450,0.028092402,0.709078606,1290,0.021614019,0.54555813,1610,0.033694318,0.850476219
1385,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_35,35,black,Non-Fiber,Black,0,0,0,0.066,0.385,0.247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,247,3.85,385,194.425,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,38.5,385,211.75,194.425,0.000385,0.000247,0.000194425,0.630482833,0.000264425,998,1450,0.024828084,0.626684142,1290,0.019102484,0.482164637,1610,0.029779061,0.751651447
1386,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_42,42,black,Non-Fiber,Black,0,0,0,0.068,0.49,0.214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,214,4.9,214,109.45,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,49,490,269.5,109.45,0.00049,0.000214,0.00010945,0.337995439,0.000225567,998,1450,0.015040535,0.379637236,1290,0.011572041,0.292089169,1610,0.018039774,0.455340831
1387,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_43,43,black,Non-Fiber,Black,0,0,0,0.066,0.405,0.234,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,234,4.05,405,204.525,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,40.5,405,222.75,204.525,0.000405,0.000234,0.000204525,0.66437145,0.00026862,998,1450,0.025945048,0.654877375,1290,0.019961866,0.503856234,1610,0.031118759,0.785466702
1388,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_44,44,black,Non-Fiber,Black,0,0,0,0.138,0.786,0.261,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,261,7.86,261,134.43,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,78.6,786,432.3,134.43,0.000786,0.000261,0.00013443,0.29680053,0.000302125,998,1450,0.017576183,0.443639362,1290,0.013522943,0.341331777,1610,0.021081056,0.532105642
1389,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_45,45,black,Non-Fiber,Black,0,0,0,0.108,0.609,0.275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609,275,6.09,275,140.545,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,60.9,609,334.95,140.545,0.000609,0.000275,0.000140545,0.343431721,0.000286586,998,1450,0.018390984,0.464205714,1290,0.014149843,0.357155327,1610,0.022058337,0.556773138
1390,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_46,46,black,Non-Fiber,Black,0,0,0,0.13,0.625,0.321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,321,6.25,625,315.625,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,62.5,625,343.75,315.625,0.000625,0.000321,0.000315625,0.704658785,0.000398583,998,1450,0.03685522,0.930260347,1290,0.028356045,0.715733194,1610,0.044204532,1.115763889
1391,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_48,48,black,Non-Fiber,Black,0,0,0,0.069,0.359,0.292,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,292,3.59,359,181.295,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,35.9,359,197.45,181.295,0.000359,0.000292,0.000181295,0.559947328,0.000266863,998,1450,0.023292446,0.587923213,1290,0.01792098,0.452342358,1610,0.027937201,0.705161187
1392,tire wear,rubbery fragment,tire wear,TRWP,SAD,Stormflow,2,C,Inside Thalweg,1,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_C_49,49,black,Non-Fiber,Black,0,0,0,0.119,0.498,0.395,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,395,4.98,498,251.49,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,49.8,498,273.9,251.49,0.000498,0.000395,0.00025149,0.567031913,0.000367098,998,1450,0.030289147,0.764526502,1290,0.023304173,0.588219198,1610,0.036329116,0.916981
