,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_13,13,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.498,1.178,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,570,11.78,570,290.89,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,117.8,1178,647.9,290.89,0.001178,0.00057,0.00029089,0.354992125,0.000580207,998,1450,0.032983311,1.681964042,1290,0.025377036,1.29408665,1610,0.039560524,2.017365082
2,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_23,23,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents in the particle.",0,0.901,1.405,0.947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,947,14.05,1405,709.525,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,140.5,1405,772.75,709.525,0.001405,0.000947,0.000709525,0.615112497,0.00098099,998,1450,0.069823416,3.560603035,1290,0.053721452,2.73949308,1610,0.083746928,4.270624135
3,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_38,38,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.204,0.826,0.458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,458,8.26,826,417.13,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,82.6,826,454.3,417.13,0.000826,0.000458,0.00041713,0.678185754,0.000540388,998,1450,0.045948395,2.343110717,1290,0.035352245,1.802766422,1610,0.055110981,2.810351246
4,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_39,39,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.204,0.874,0.468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,468,8.74,874,441.37,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,87.4,874,480.7,441.37,0.000874,0.000468,0.00044137,0.690119292,0.00056518,998,1450,0.048128296,2.454273467,1290,0.03702944,1.888293952,1610,0.057725577,2.943681
5,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_6,6,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.096,0.572,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,374,5.72,572,288.86,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,57.2,572,314.6,288.86,0.000572,0.000374,0.00028886,0.624530412,0.000395353,998,1450,0.034057816,1.736757798,1290,0.02620375,1.336244428,1610,0.040849297,2.083085279
6,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_8,8,black,Non-Fiber,Black,0,"rubbery texture, bounces back, breaks apart easily.",done,0.093,0.568,0.231,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,231,5.68,231,118.34,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,56.8,568,312.4,118.34,0.000568,0.000231,0.00011834,0.32670171,0.000249477,998,1450,0.015973937,0.814581304,1290,0.012290191,0.626730872,1610,0.019159306,0.977017248
7,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_11,11,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.236,0.94,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,370,9.4,370,189.7,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,94,940,517,189.7,0.00094,0.00037,0.0001897,0.321664062,0.000404078,998,1450,0.023276124,1.186951918,1290,0.017908422,0.913229173,1610,0.027917624,1.423642417
8,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_12,12,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.461,1.138,0.615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,615,11.38,1138,574.69,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,113.8,1138,625.9,574.69,0.001138,0.000615,0.00057469,0.686949721,0.00073816,998,1450,0.059425367,3.030360767,1290,0.045721295,2.331529875,1610,0.0712754,3.63464607
9,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_14,14,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,3.857,2.92,1.838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1838,29.2,2920,1474.6,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,292,2920,1606,1474.6,0.00292,0.001838,0.0014746,0.636517063,0.001992818,998,1450,0.125648319,6.407360302,1290,0.096672585,4.929760221,1610,0.150703895,7.685054267
10,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_15,15,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.109,0.463,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,358,4.63,463,233.815,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,46.3,463,254.65,233.815,0.000463,0.000358,0.000233815,0.574302042,0.000338412,998,1450,0.028598102,1.45834299,1290,0.0220031,1.122034804,1610,0.03430086,1.749151677
11,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_16,16,black,Non-Fiber,Black,0,"rubbery texture, bounces back, particle can be flattened.",0,0.168,0.744,0.346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,346,7.44,346,176.72,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,74.4,744,409.2,176.72,0.000744,0.000346,0.00017672,0.348306184,0.000356981,998,1450,0.022110027,1.127487495,1290,0.017011238,0.867477829,1610,0.026518995,1.352320172
12,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_21,21,black,Non-Fiber,Black,0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.",done,1.774,1.906,1.542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,1542,19.06,1906,962.53,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,190.6,1906,1048.3,962.53,0.001906,0.001542,0.00096253,0.561449422,0.001414297,998,1450,0.08857587,4.516873085,1290,0.068149406,3.475237884,1610,0.106238815,5.417584331
13,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_22,22,black,Non-Fiber,Black,0,"broke down into multiple pieces easily in a powdery form, rubbery texture, bounces back.",done,2.313,3.285,1.322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285,1322,32.85,1322,677.425,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,328.5,3285,1806.75,677.425,0.003285,0.001322,0.000677425,0.325070684,0.001432878,998,1450,0.064483825,3.288313803,1290,0.049613223,2.529996413,1610,0.077342568,3.944037612
14,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_24,24,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.143,0.642,0.401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,401,6.42,642,324.21,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,64.2,642,353.1,324.21,0.000642,0.000401,0.00032421,0.638979177,0.000437021,998,1450,0.037410215,1.907711354,1290,0.028783053,1.467774419,1610,0.044870199,2.288128744
15,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_30,30,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.126,0.544,0.347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,347,5.44,544,274.72,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,54.4,544,299.2,274.72,0.000544,0.000347,0.00027472,0.632304235,0.000372912,998,1450,0.032744417,1.669781791,1290,0.025193233,1.284713745,1610,0.039273992,2.002753564
16,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_31,31,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.133,0.642,0.343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,343,6.42,642,324.21,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,64.2,642,353.1,324.21,0.000642,0.000343,0.00032421,0.690894654,0.000414844,998,1450,0.037605544,1.917672055,1290,0.028933337,1.475438085,1610,0.045104479,2.300075712
17,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_2,2,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.388,0.84,0.679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,679,8.4,840,424.2,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,84,840,462,424.2,0.00084,0.000679,0.0004242,0.561689278,0.000623122,998,1450,0.045988887,2.345175595,1290,0.035383399,1.804355119,1610,0.055159548,2.812827883
18,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_5,5,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.045,0.408,0.161,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,161,4.08,161,82.54,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,40.8,408,224.4,82.54,0.000408,0.000161,8.25E-05,0.322048622,0.000175678,998,1450,0.011962528,0.610021901,1290,0.009203852,0.469344872,1610,0.01434798,0.731666582
19,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_7,7,black,Non-Fiber,Black,0,"rubbery texture, bounces back, particle could be flattened.",0,0.505,1.19,0.78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,780,11.9,1190,600.95,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,119,1190,654.5,600.95,0.00119,0.00078,0.00060095,0.623760052,0.000823177,998,1450,0.061193008,3.120500582,1290,0.047081301,2.400882565,1610,0.073395528,3.742760697
20,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_9,9,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.187,0.852,0.444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,444,8.52,852,430.26,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,85.2,852,468.6,430.26,0.000852,0.000444,0.00043026,0.699551497,0.00054599,998,1450,0.047199354,2.406902604,1290,0.03631472,1.851847275,1610,0.056611394,2.886863897
21,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_20,20,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.17,0.795,0.385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,385,7.95,385,196.475,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,79.5,795,437.25,196.475,0.000795,0.000385,0.000196475,0.355134912,0.000391783,998,1450,0.024097317,1.22882816,1290,0.01854024,0.945448343,1610,0.028902572,1.473869214
22,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_28,28,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.104,0.439,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,380,4.39,439,221.695,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,43.9,439,241.45,221.695,0.000439,0.00038,0.000221695,0.542790003,0.000333172,998,1450,0.027302985,1.392299286,1290,0.021006649,1.071221426,1610,0.032747483,1.669938175
23,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_C_31,31,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.135,2.845,0.579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2845,579,28.45,579,303.725,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,284.5,2845,1564.75,303.725,0.002845,0.000579,0.000303725,0.236646521,0.000793866,998,1450,0.033231841,1.694637711,1290,0.025568253,1.303837647,1610,0.039858614,2.032566011
24,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_14,14,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.224,0.79,0.595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,595,7.9,790,398.95,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,79,790,434.5,398.95,0.00079,0.000595,0.00039895,0.581897432,0.000572384,998,1450,0.04388888,2.093538686,1290,0.033767674,1.610748148,1610,0.052640777,2.51101197
25,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_20,20,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.101,0.61,0.274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,274,6.1,274,140.05,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,61,610,335.5,140.05,0.00061,0.000274,0.00014005,0.342564941,0.000286058,998,1450,0.018336058,0.874646314,1290,0.014107584,0.672944302,1610,0.021992458,1.049059843
26,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_23,23,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.09,0.584,0.311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,311,5.84,584,294.92,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,58.4,584,321.2,294.92,0.000584,0.000311,0.00029492,0.692018344,0.000376958,998,1450,0.034865924,1.66313565,1290,0.026825501,1.27960027,1610,0.041818551,1.994782113
27,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_24,24,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.071,0.422,0.284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,284,4.22,422,213.11,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,42.2,422,232.1,213.11,0.000422,0.000284,0.00021311,0.615585574,0.000294495,998,1450,0.026676709,1.272502794,1290,0.020524799,0.979051178,1610,0.031996321,1.526253022
28,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_25,25,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.112,0.651,0.448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,448,6.51,651,328.755,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,65.1,651,358.05,328.755,0.000651,0.000448,0.000328755,0.608755454,0.000457696,998,1450,0.037707179,1.798666047,1290,0.029011534,1.383876029,1610,0.045226381,2.157338674
29,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_27,27,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.172,0.686,0.477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,477,6.86,686,346.43,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,68.6,686,377.3,346.43,0.000686,0.000477,0.00034643,0.605611686,0.000483971,998,1450,0.039306886,1.874973485,1290,0.030242333,1.442586224,1610,0.047145086,2.248862605
30,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_30,30,black,Non-Fiber,Black,0,"rubbery texture, tears apart easily.",done,0.079,0.781,0.191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,191,7.81,191,99.405,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,78.1,781,429.55,99.405,0.000781,0.000191,9.94E-05,0.257374804,0.000245677,998,1450,0.013675009,0.652310103,1290,0.010521418,0.501881,1610,0.016401947,0.782387489
31,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_33,33,black,Non-Fiber,Black,0,"rubbery texture, tears apart easily.",done,0.121,0.592,0.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,430,5.92,592,298.96,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,59.2,592,325.6,298.96,0.000592,0.00043,0.00029896,0.592540451,0.000423774,998,1450,0.034884698,1.664031157,1290,0.026839945,1.280289264,1610,0.041841068,1.995856194
32,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_B_1,1,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.091,0.484,0.323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,323,4.84,484,244.42,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,48.4,484,266.2,244.42,0.000484,0.000323,0.00024442,0.618176936,0.000336818,998,1450,0.02977695,1.420387028,1290,0.022910093,1.092831859,1610,0.035714782,1.703626903
33,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_B_36,36,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.12,0.557,0.387,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,387,5.57,557,281.285,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,55.7,557,306.35,281.285,0.000557,0.000387,0.000281285,0.605847741,0.00039286,998,1450,0.033273983,1.58719862,1290,0.025600676,1.221175063,1610,0.039909159,1.903702453
34,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_1,1,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.137,0.638,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638,313,6.38,313,159.69,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,63.8,638,350.9,159.69,0.000638,0.000313,0.00015969,0.357351174,0.000317113,998,1450,0.020423264,0.974207891,1290,0.015713459,0.749546004,1610,0.024495874,1.168475029
35,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_6,6,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.155,0.747,0.409,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747,409,7.47,747,377.235,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,74.7,747,410.85,377.235,0.000747,0.000409,0.000377235,0.682480151,0.000486652,998,1450,0.042415594,2.023261595,1290,0.032634142,1.556677642,1610,0.050873702,2.426720899
36,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_9,9,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.125,0.531,0.329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,329,5.31,531,268.155,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,53.1,531,292.05,268.155,0.000531,0.000329,0.000268155,0.641565039,0.000360489,998,1450,0.032148057,1.533490951,1290,0.0247344,1.179852909,1610,0.038558712,1.83928492
37,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_13,13,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.042,0.391,0.179,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,179,3.91,179,91.455,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,39.1,391,215.05,91.455,0.000391,0.000179,9.15E-05,0.345694572,0.000185672,998,1450,0.013046943,0.622350801,1290,0.01003819,0.478830607,1610,0.015648638,0.746453993
38,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_22,22,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.085,0.426,0.302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,302,4.26,426,215.13,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,42.6,426,234.3,215.13,0.000426,0.000302,0.00021513,0.599781003,0.000302486,998,1450,0.02683224,1.279921736,1290,0.020644462,0.98475924,1610,0.032182866,1.535151378
39,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_27,27,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.085,0.726,0.207,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,207,7.26,207,107.13,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,72.6,726,399.3,107.13,0.000726,0.000207,0.00010713,0.276348825,0.000252507,998,1450,0.014587785,0.695850341,1290,0.011223699,0.535380433,1610,0.01749674,0.834610101
40,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_32,32,black,Non-Fiber,Black,0,"rubbery texture, bounces back, tears apart easily.",done,0.154,1.373,0.265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,265,13.73,265,139.365,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,137.3,1373,755.15,139.365,0.001373,0.000265,0.000139365,0.231044436,0.000370132,998,1450,0.017790957,0.848644489,1290,0.013688188,0.652938753,1610,0.021338658,1.017872984
41,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_33,33,black,Non-Fiber,Black,0,"rubbery texture, bounces back, tears apart easily.",0,0.103,0.717,0.357,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,357,7.17,357,182.085,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,71.7,717,394.35,182.085,0.000717,0.000357,0.000182085,0.359898871,0.000359877,998,1450,0.022694886,1.082566261,1290,0.017461223,0.832915871,1610,0.027220481,1.298441178
