Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_47,47,clear,fragment,Non-Fiber,Transparent,0,0,0,0.000707,3.487,1.241,9.59,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-3_B_63,63,red,fragment,Non-Fiber,Reds,0,"long, thin piece",done,0.157,3.333,0.172,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_A_47,47,white,fragment,Non-Fiber,Whites,0,0,0,1.731,3.321,0.861,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_51,51,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.000322,3.309,0.576,3.754,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_E_10,10,clear,fragment,Non-Fiber,Transparent,0,0,0,0.04,3.247,0.826,4.389,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_75,75,blue,fragment,Non-Fiber,Blues,0,0,0,0.000197,3.244,0.341,3.334,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_B_38,38,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.052,3.237,1.454,6.342,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_A_13,13,pink,fragment,Non-Fiber,Reds,0,0,0,0.387,3.225,0.921,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-5_C_62,62,white,fragment,Non-Fiber,Whites,0,0,0,3.449,3.185,1.397,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_C_20,20,clear,fragment,Non-Fiber,Transparent,0,0,0,0.698,3.165,1.946,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_C_63,63,clear,fragment,Non-Fiber,Transparent,0,thin piece,done,0.042,3.145,1.797,5.126,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_16,16,gray,fragment,Non-Fiber,Blacks,0,0,0,2.442,3.122,1.5,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-5_A_22,22,black,fragment,Non-Fiber,Blacks,0,0,done,0.172,3.094,1.038,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_B_31,31,black,fragment,Non-Fiber,Blacks,0,0,done,0.000321,3.079,0.947,3.8,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_2,2,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000506,3.078,1.155,6.661,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_B_6,6,red,fragment,Non-Fiber,Reds,0,0,0,0.000257,3.014,0.232,3.085,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_B_27,27,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.054,2.994,2.499,6.246,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-4_C_45,45,green,fragment,Non-Fiber,Greens,0,0,0,1.415,2.987,0.744,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_B_50,50,clear,fragment,Non-Fiber,Transparent,0,long thin piece,done,0.161,2.972,0.842,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_B_25,25,black,TRWP,Non-Fiber,Blacks,0,0,0,0.000321,2.966,0.844,4.307,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_D_28,28,white,fragment,Non-Fiber,Whites,0,0,0,0.718,2.958,1.006,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-5_A_13,13,gray,fragment,Non-Fiber,Blacks,0,0,0,0.12,2.943,1.059,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_39,39,yellow,fragment,Non-Fiber,Yellows,0,thin long piece,0,0.000316,2.941,0.53,3.627,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_B_32,32,blue,fragment,Non-Fiber,Blues,0,0,0,0.000257,2.941,0.472,3.178,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_C_49,49,black,fragment,Non-Fiber,Blacks,0,0,done,2.233,2.938,1.722,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_22,22,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000316,2.931,0.616,4.034,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_B_29,29,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.054,2.892,0.953,6.43,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_A_1,1,black,fragment,Non-Fiber,Blacks,0,0,done,0.896,2.883,1.185,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_A_4,4,yellow,film,Non-Fiber,Yellows,0,thin piece,done,0.244,2.868,1.636,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-4_A_29,29,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.058,2.84,0.982,6.537,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_A_21,21,green,fragment,Non-Fiber,Greens,0,0,0,0.791,2.798,0.446,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_B_47,47,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.024,2.795,0.137,2.875,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_E_25,25,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000445,2.77,1.437,6.168,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_A_23,23,red,fragment,Non-Fiber,Reds,0,0,0,0.286,2.761,0.619,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_A_44,44,yellow,fragment,Non-Fiber,Yellows,0,long thin piece,done,0.092,2.752,0.108,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_B_26,26,gray,fragment,Non-Fiber,Blacks,0,0,0,0.334,2.746,0.943,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_D_5,5,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.026,2.735,0.461,3.034,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_A_50,50,clear,fragment,Non-Fiber,Transparent,0,0,0,0.042,2.689,0.762,4.919,sub
