Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_41,41,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.08,0.428,0.291,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_42,42,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.12,0.547,0.376,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_43,43,black,fragment,Non-Fiber,Blacks,0,0,0,0.105,0.631,0.332,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_44,44,gray,fragment,Non-Fiber,Blacks,0,0,0,0.327,1.028,0.607,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_46,46,black,fragment,Non-Fiber,Blacks,0,0,0,0.123,0.761,0.3,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_47,47,black,fragment,Non-Fiber,Blacks,0,0,0,0.362,0.888,0.552,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_48,48,blue,fragment,Non-Fiber,Blues,0,0,0,0.255,2.083,0.41,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_C_49,49,black,fragment,Non-Fiber,Blacks,0,0,0,0.146,0.913,0.392,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_D_3,3,orange,fragment,Non-Fiber,Yellows,0,multicolored,0,0.205,0.687,0.447,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_D_5,5,pink,fragment,Non-Fiber,Reds,0,0,0,0.153,0.667,0.379,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_D_6,6,blue,fragment,Non-Fiber,Blues,0,0,0,0.587,2.759,0.607,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_D_8,8,green,fragment,Non-Fiber,Greens,0,0,0,0.221,1.657,0.786,0
SDC,3,DF-2,SDC-DF-2-N-3,SDC-DF-2,SDC-DF-2-N-3_S0-0_D_9,9,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.204,0.912,0.417,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_B_4,4,gray,fragment,Non-Fiber,Blacks,0,0,done,0.149,0.569,0.452,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_B_6,6,black,fragment,Non-Fiber,Blacks,0,0,done,0.159,0.865,0.372,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_B_7,7,black,fragment,Non-Fiber,Blacks,0,very thin,0,0.223,0.938,0.575,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_B_11,11,blue,fragment,Non-Fiber,Blues,0,0,0,0.182,0.995,0.386,0
SDC,2,DF-2,SDC-DF-2-N-2,SDC-DF-2,SDC-DF-2-N-2_S0-0_C_2,2,clear,fragment,Non-Fiber,Transparent,0,0,0,0.486,1.66,0.881,0
SDC,2,DF-2,SDC-DF-2-N-2,SDC-DF-2,SDC-DF-2-N-2_S0-0_C_4,4,gray,fragment,Non-Fiber,Blacks,0,0,0,0.048,1.085,0.304,0
