Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_26,26,black,TW,Non-Fiber,Blacks,0,0,0,0.836,1.515,0.874,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_27,27,green,fragment,Non-Fiber,Greens,0,0,0,0.555,0.979,0.81,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_28,28,green,fragment,Non-Fiber,Greens,0,0,0,1.351,2.396,0.953,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_29,29,gray,fragment,Non-Fiber,Blacks,0,0,0,0.683,1.794,0.758,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_3,3,white,fragment,Non-Fiber,Whites,0,0,0,0.461,1.057,0.626,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_4,4,black,TW,Non-Fiber,Blacks,0,0,0,0.38,0.866,0.635,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_5,5,black,TW,Non-Fiber,Blacks,0,0,0,0.333,1.152,0.488,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_6,6,black,TW,Non-Fiber,Blacks,0,0,0,1.109,2.044,0.92,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_7,7,green,fragment,Non-Fiber,Greens,0,0,0,0.989,1.887,1.045,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_8,8,black,TW,Non-Fiber,Blacks,0,0,0,0.42,1.741,0.502,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_1,1,black,TW,Non-Fiber,Blacks,0,0,0,0.357,0.874,0.647,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_10,10,black,fragment,Non-Fiber,Blacks,0,0,0,0.261,1.022,0.42,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_11,11,white,fragment,Non-Fiber,Whites,0,0,done,1.2,2.212,0.87,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_13,13,black,TW,Non-Fiber,Blacks,0,0,0,0.206,1.033,0.368,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_14,14,black,fragment,Non-Fiber,Blacks,0,0,0,0.211,1.199,0.342,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_15,15,gray,film,Non-Fiber,Blacks,0,0,0,0.0000974,1.758,0.574,2.956,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_16,16,black,fragment,Non-Fiber,Blacks,0,0,0,1.145,2.371,1.09,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_17,17,black,fragment,Non-Fiber,Blacks,0,0,0,0.754,1.252,0.936,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_18,18,gray,fragment,Non-Fiber,Blacks,0,0,0,0.719,1.434,0.843,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_2,2,black,TW,Non-Fiber,Blacks,0,0,0,0.52,1.17,0.796,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-2_A_21,21,orange,fragment,Non-Fiber,Yellows,0,0,0,0.606,1.534,0.526,0,sub
