Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-3_B_10,10,blue,fragment,Non-Fiber,Blue,0,0,0,0.071,0.73,0.293,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_G_21,21,green,fragment,Non-Fiber,Green,0,0,0,0.242,0.729,0.514,0,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-3_A_43,43,gray,fiber,Fiber,Black,0,0,0,0.013,0.729,0.431,1.579,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-2_C_43,43,white,fragment,Non-Fiber,White,0,0,0,0.219,0.727,0.503,0,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-2_C_18,18,red,fiber,Fiber,Red,0,0,done,0.01,0.726,0.348,1.102,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_A_12,12,green,fragment,Non-Fiber,Green,0,0,0,0.278,0.725,0.553,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-2_A_51,51,black,fragment,Non-Fiber,Black,0,0,done,0.21,0.723,0.488,0,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-2_H_25,25,black,fragment,Non-Fiber,Black,0,0,0,0.172,0.723,0.368,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-5_C_34,34,gray,fragment,Non-Fiber,Black,0,0,0,0.17,0.723,0.411,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-5_E_21,21,black,TRWP,Non-Fiber,Black,0,0,0,0.101,0.723,0.342,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-2_A_16,16,black,fiber,Fiber,Black,0,0,done,0.007,0.722,0.063,0.749,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-5_A_4,4,white,fragment,Non-Fiber,White,0,0,0,0.251,0.721,0.608,0,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-2_B_17,17,orange,fragment,Non-Fiber,Yellow,0,0,done,0.068,0.721,0.211,0,sub
SDC,1,SF-6,SDC-SF-6-N-1,SDC-SF-6,SDC-SF-6-N-1_S1-1_A_9,9,clear,fiber,Fiber,Transparent,0,0,done,0.016,0.719,0.587,1.853,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-1_F_4,4,blue,fragment,Non-Fiber,Blue,0,brittle,done,0.193,0.718,0.455,0,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-2_K_21,21,blue,fiber,Fiber,Blue,0,0,0,0.000124,0.717,0.089,0.768,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-2_D_49,49,white,film,Non-Fiber,White,0,0,0,0.145,0.716,0.31,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-2_E_40,40,black,fragment,Non-Fiber,Black,0,0,0,0.171,0.715,0.4,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_G_5,5,black,fiber,Fiber,Black,0,0,0,0.000126,0.715,0.084,0.762,sub
SDC,1,SF-6,SDC-SF-6-N-1,SDC-SF-6,SDC-SF-6-N-1_S1-1_A_10,10,black,fragment,Non-Fiber,Black,0,0,done,0.057,0.714,0.143,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_H_15,15,green,fragment,Non-Fiber,Green,0,0,0,0.159,0.713,0.419,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-3_B_21,21,black,fiber,Fiber,Black,0,0,0,0.000126,0.713,0.047,0.727,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_B_11,11,gray,fragment,Non-Fiber,Black,0,0,0,0.136,0.712,0.372,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_A_37,37,black,fragment,Non-Fiber,Black,0,maybe some rubber,0,0.096,0.712,0.394,0,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-2_F_38,38,blue,fragment,Non-Fiber,Blue,0,0,0,0.19,0.711,0.401,0,sub
SDC,3,SF-6,SDC-SF-6-N-3,SDC-SF-6,SDC-SF-6-N-3_S1-4_G_16,16,white,fragment,Non-Fiber,White,0,0,0,0.217,0.709,0.46,0,sub
