,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
11,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_18,18,black,Fiber,Black,0,0,done,0.011,1.118,0.327,1.118,Y,SAD-BF-4-N-1_S0-0_A_18.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1118,327,NA,1.118,559,280.059,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.118,559,280.059
12,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_19,19,blue,Fiber,Blue,0,0,done,0.025,2.663,0.7,2.663,Y,SAD-BF-4-N-1_S0-0_A_19.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2663,700,NA,2.663,1331.5,667.0815,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.663,1331.5,667.0815
13,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_B_14,14,orange,Fiber,Yellow,0,0,done,0.031,3.63,0.656,3.63,Y,SAD-BF-4-N-1_S0-0_B_14.SPA,Y,0.7,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,3630,656,NA,3.63,656,329.815,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,3.63,1815,909.315
14,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_B_17,17,blue,Fiber,Blue,0,0,done,0.045,5.18,1.467,5.18,Y,SAD-BF-4-N-1_S0-0_B_17.SPA,Y,0.9,PP 1. Red Straw Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,5180,1467,NA,5.18,2590,1297.59,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,5.18,2590,1297.59
15,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_B_28,28,brown,Fiber,Black,0,0,done,0.02,2.256,0.673,2.256,Y,SAD-BF-4-N-1_S0-0_B_28.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2256,673,NA,2.256,1128,565.128,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.256,1128,565.128
16,PET,fiber bundle,POLY(ETHYLENE TEREPHTHALATE),fiber bundle,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_B_29,29,black,Fiber,Black,0,0,done,0.097,0.915,0.585,10.684,Y,SAD-BF-4-N-1_S0-0_B_29.SPA,Y,0.8,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,915,585,NA,0.915,91.5,46.2075,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,91.5,915,503.25
17,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_B_30,30,orange,Fiber,Yellow,0,0,done,0.031,3.48,0.911,3.48,Y,SAD-BF-4-N-1_S0-0_B_30.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,3480,911,NA,3.48,1740,871.74,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,3.48,1740,871.74
18,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_C_4,4,blue,Fiber,Blue,0,0,done,0.062,7.017,1.76,7.017,Y,SAD-BF-4-N-1_S0-0_C_4.SPA,Y,0.9,PP 54. Red Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,7017,1760,NA,7.017,3508.5,1757.7585,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,7.017,3508.5,1757.7585
19,PP,fiber,POLY(PROPYLENE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_C_8,8,blue,Fiber,Blue,0,0,done,0.036,4.221,0.976,4.221,Y,SAD-BF-4-N-1_S0-0_C_8.SPA,Y,0.9,PP 9. White Fork Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,4221,976,NA,4.221,976,490.1105,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,4.221,2110.5,1057.3605
20,ABS,fiber bundle,ACRYLONITRILE BUTADIENE STYRENE (ABS),fiber bundle,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_C_27,27,black,Fiber,Black,0,black powdery on raveled ropw or something shoot with ftir,done,1.169,2.142,1.232,0,Y,SAD-BF-4-N-1_S0-0_C_27.SPA,Y,0.8,ABS,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Other Plastic,ACRYLONITRILE BUTADIENE STYRENE (ABS),plastic,2142,1232,NA,2.142,214.2,108.171,1.11E-09,1.11E-09,1.11E-09,1.11E-09,1.11E-09,214.2,2142,1178.1
