,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
11,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_13,13,blue,Fiber,Blue,0,0,0,0.022,2.741,0.638,2.741,Y,SDC-BF-4-N-1_S0-0_B_13.SPA,Y,0.8,PP 9. White Fork Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,2741,638,NA,2.741,638,320.3705,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,2.741,1370.5,686.6205
12,Polyesters,fiber,POLYESTERS,fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_15,15,red,Fiber,Red,0,0,0,0.016,2.053,0.523,2.053,Y,SDC-BF-4-N-1_S0-0_B_15.SPA,Y,0.8,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,2053,523,NA,2.053,1026.5,514.2765,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,2.053,1026.5,514.2765
13,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_17,17,gray,Fiber,Black,0,0,0,10.082,8.282,4.239,0,Y,SDC-BF-4-N-1_S0-0_B_17.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,8282,4239,NA,8.282,4141,2074.641,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,8.282,4141,2074.641
14,PVC,fiber,POLY(VINYL CHLORIDE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_12,12,brown,Fiber,Black,0,0,0,0.262,2.758,2.28,0,Y,SDC-BF-4-N-2_S0-0_A_12.SPA,Y,0.7,PVC.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyhaloolefins (Vinylhalides),POLY(VINYL CHLORIDE),plastic,2758,2280,NA,2.758,1379,690.879,1.33E-09,1.33E-09,1.33E-09,1.33E-09,1.33E-09,2.758,1379,690.879
15,PVC,fiber,POLY(VINYL CHLORIDE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_13,13,brown,Fiber,Black,0,0,0,0.064,7.497,0.727,7.497,Y,SDC-BF-4-N-2_S0-0_A_13.SPA,Y,0.7,PVC.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyhaloolefins (Vinylhalides),POLY(VINYL CHLORIDE),plastic,7497,727,NA,7.497,727,367.2485,1.33E-09,1.33E-09,1.33E-09,1.33E-09,1.33E-09,7.497,3748.5,1877.9985
16,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_18,18,black,Fiber,Black,0,0,0,0.083,1.565,0.4,0,Y,SDC-BF-4-N-2_S0-0_A_18.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1565,400,NA,1.565,782.5,392.0325,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.565,782.5,392.0325
17,PET,fiber bundle,POLY(ETHYLENE TEREPHTHALATE),fiber bundle,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_26,26,black,Fiber,Black,0,0,0,0.031,0.65,0.396,3.91,Y,SDC-BF-4-N-2_S0-0_A_26.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,650,396,NA,0.65,65,32.825,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,65,650,357.5
18,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_28,28,brown,Fiber,Black,0,0,0,0.103,2.152,0.183,0,Y,SDC-BF-4-N-2_S0-0_A_28.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,2152,183,NA,2.152,183,92.576,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,2.152,1076,539.076
19,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_29,29,red,Fiber,Red,0,0,0,0.106,12.785,1.362,12.785,Y,SDC-BF-4-N-2_S0-0_A_29.SPA,Y,0.8,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,12785,1362,NA,12.785,1362,687.3925,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,12.785,6392.5,3202.6425
20,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_35,35,brown,Fiber,Black,0,0,0,0.205,4.514,0.466,0,Y,SDC-BF-4-N-2_S0-0_A_35.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,4514,466,NA,4.514,466,235.257,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,4.514,2257,1130.757
