,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
124,PBT,fiber,POLY(BUTYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_A_2,2,blue,Fiber,Blue,0,0,0,4.89E-05,0.889,0.214,0.889,Y,SDC-SF-4-N-3_S1-3_A_2.SPA,Y,0.7,polybuthylene_terephthalate,Win Cowger and Sebastian Primpke,Transmission,0,Transmission,0,Polyterephthalates,POLY(BUTYLENE TEREPHTHALATE),plastic,889,214,NA,0.889,214,107.4445,1.45E-09,1.45E-09,1.45E-09,1.45E-09,1.45E-09,0.889,444.5,222.6945
125,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_A_8,8,clear,Fiber,Transparent,0,"thin like a fiber, does not look like fiber, hard texture",done,9.78E-05,3.157,0.628,3.157,Y,SDC-SF-4-N-3_S1-3_A_8.SPA,Y,0.9,PES,Win Cowger and Sebastian Primpke,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,3157,628,NA,3.157,628,315.5785,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,3.157,1578.5,790.8285
126,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_E_52,52,black,Fiber,Black,0,0,0,0.000122,4.081,0.688,4.081,Y,SDC-SF-4-N-3_S1-3_E_52.SPA,Y,0.9,HDPE,Win Cowger and Sebastian Primpke,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,4081,688,NA,4.081,688,346.0405,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,4.081,2040.5,1022.2905
127,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_F_17,17,black,Fiber,Black,0,0,0,0.000146,4.435,1.094,4.435,Y,SDC-SF-4-N-3_S1-3_F_17.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,4435,1094,NA,4.435,1094,549.2175,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,4.435,2217.5,1110.9675
128,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_34,34,blue,Fiber,Blue,0,0,0,0.000246,2.495,0.543,2.495,Y,SDC-SF-4-N-3_S1-4_E_34.SPA,Y,1,polypropylene,Win Cowger and Sebastian Primpke,Transmission,0,Transmission,0,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,2495,543,NA,2.495,543,272.7475,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,2.495,1247.5,624.9975
129,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_41,41,blue,Fiber,Blue,0,0,0,0.000431,5.462,1.058,5.462,Y,SDC-SF-4-N-3_S1-4_F_41.SPA,Y,0.9,PES,Win Cowger and Sebastian Primpke,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,5462,1058,NA,5.462,1058,531.731,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,5.462,2731,1368.231
130,ABS,fiber,ACRYLONITRILE BUTADIENE STYRENE (ABS),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-5_A_9,9,black,Fiber,Black,0,0,0,9.77E-05,3.195,0.997,3.195,Y,SDC-SF-4-N-3_S1-5_A_9.SPA,Y,0.9,ABS,Win Cowger and Sebastian Primpke,Reflectance,0,Reflectance,0,Other Plastic,ACRYLONITRILE BUTADIENE STYRENE (ABS),plastic,3195,997,NA,3.195,1597.5,800.3475,1.11E-09,1.11E-09,1.11E-09,1.11E-09,1.11E-09,3.195,1597.5,800.3475
131,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-5_C_15,15,blue,Fiber,Blue,0,0,0,4.89E-05,1.214,0.409,1.214,Y,SDC-SF-4-N-3_S1-5_C_15.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1214,409,NA,1.214,607,304.107,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.214,607,304.107
132,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-5_D_21,21,blue,Fiber,Blue,0,0,0,7.33E-05,1.52,0.356,1.52,Y,SDC-SF-4-N-3_S1-5_D_21.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1520,356,NA,1.52,356,178.76,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.52,760,380.76
133,Polyacrylonitriles (Nitriles),fiber,POLYACRYLONITRILES (NITRILES),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-5_E_12,12,gray,Fiber,Black,0,0,0,7.33E-05,1.341,0.189,1.341,Y,SDC-SF-4-N-3_S1-5_E_12.SPA,Y,0.9,PAN,Win Cowger and Sebastian Primpke,Reflectance,0,Reflectance,0,POLYACRYLONITRILES (NITRILES),0,plastic,1341,189,NA,1.341,189,95.1705,1.12E-09,1.09E-09,1.14E-09,1.10E-09,1.13E-09,1.341,670.5,335.9205
134,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-5_E_14,14,black,Fiber,Black,0,0,0,9.77E-05,2.484,0.575,2.484,Y,SDC-SF-4-N-3_S1-5_E_14.SPA,Y,0.8,PET,Win Cowger and Sebastian Primpke,Transmission,0,Transmission,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2484,575,NA,2.484,575,288.742,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.484,1242,622.242
135,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,3,T,Inside Thalweg,1.81,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-5_F_7,7,black,Fiber,Black,0,0,0,7.33E-05,1.874,0.47,1.874,Y,SDC-SF-4-N-3_S1-5_F_7.SPA,Y,0.9,PES,Win Cowger and Sebastian Primpke,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1874,470,NA,1.874,937,469.437,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.874,937,469.437
136,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.37,SF-5,SDC-SF-5-N-1,SDC-SF-5,SDC-SF-5-N-1_S0-0_B_3,3,blue,Fiber,Blue,0,lot of OM stuck to it,done,0.847,2.852,1.105,0,Y,SDC-SF-5-N-1_B_3.SPA,Y,0.8,polypropylene,Aline Carvalho,ATR,0,ATR,0,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,2852,1105,NA,2.852,1426,714.426,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,2.852,1426,714.426
137,PET,fiber bundle,POLY(ETHYLENE TEREPHTHALATE),fiber bundle,SDC,Stormflow,3,LB,NA,0.35,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_6,6,pink,Fiber,Red,0,fibers wrapped around each other like a rope.,done,1.693,7.197,0.642,0,Y,SDC-SF-5-N-3_A_6.SPA,Y,0.9,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,7197,642,NA,7.197,719.7,363.4485,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,719.7,7197,3958.35
138,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.54,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_14,14,black,Fiber,Black,0,0,0,0.09,2.45,0.375,0,Y,SDC-SF-3-N-1_S0-0_A_14.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2450,375,NA,2.45,375,188.725,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.45,1225,613.725
139,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.54,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_L_28,28,black,Fiber,Black,0,0,0,0.000317,3.488,0.749,3.488,Y,SDC-SF-3-N-1_S0-0_L_28.SPA,Y,0.9,PP 54. Red Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,3488,749,NA,3.488,749,376.244,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,3.488,1744,873.744
140,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.54,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_O_27,27,gray,Fiber,Black,0,0,0,0.06,7.084,0.722,7.084,Y,SDC-SF-3-N-1_S0-0_O_27.SPA,Y,0.8,PP 48. Brown Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,7084,722,NA,7.084,722,364.542,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,7.084,3542,1774.542
141,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_B_89,89,black,Fiber,Black,0,0,0,0.011,1.34,0.482,1.34,Y,SDC-SF-3-N-2_S0-0_B_89.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1340,482,NA,1.34,670,335.67,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.34,670,335.67
142,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_D_9,9,black,Fiber,Black,0,0,0,0.025,2.906,0.583,2.906,Y,SDC-SF-3-N-2_S0-0_D_9.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2906,583,NA,2.906,583,292.953,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.906,1453,727.953
143,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_E_32,32,pink,Fiber,Red,0,0,0,0.019,2.152,0.492,2.152,Y,SDC-SF-3-N-2_S0-0_E_32.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2152,492,NA,2.152,492,247.076,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.152,1076,539.076
144,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_E_57,57,gray,Fiber,Black,0,0,0,0.087,1.18,0.251,0,Y,SDC-SF-3-N-2_S0-0_E_57.SPA,Y,0.9,PP 1. Red Straw Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,1180,251,NA,1.18,251,126.09,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,1.18,590,295.59
145,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_I_83,83,black,Fiber,Black,0,0,0,0.017,1.898,0.357,1.898,Y,SDC-SF-3-N-2_S0-0_I_83.SPA,Y,0.9,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1898,357,NA,1.898,357,179.449,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.898,949,475.449
146,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_K_96,96,gray,Fiber,Black,0,0,0,0.118,1.177,0.299,0,Y,SDC-SF-3-N-2_S0-0_K_96.SPA,Y,0.7,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,1177,299,NA,1.177,588.5,294.8385,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.177,588.5,294.8385
147,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_N_29,29,pink,Fiber,Red,0,0,0,0.024,2.726,0.703,2.726,Y,SDC-SF-3-N-2_S0-0_N_29.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2726,703,NA,2.726,1363,682.863,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.726,1363,682.863
148,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_O_5,5,gray,Fiber,Black,0,0,0,0.024,2.74,0.946,2.74,Y,SDC-SF-3-N-2_S0-0_O_5.SPA,Y,0.8,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2740,946,NA,2.74,1370,686.37,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.74,1370,686.37
149,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_O_56,56,white,Fiber,White,0,0,0,0.032,3.773,0.738,3.773,Y,SDC-SF-3-N-2_S0-0_O_56.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,3773,738,NA,3.773,738,370.8865,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,3.773,1886.5,945.1365
150,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_T_4,4,blue,Fiber,Blue,0,0,0,0.02,2.375,0.811,2.375,Y,SDC-SF-3-N-2_S0-0_T_4.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2375,811,NA,2.375,1187.5,594.9375,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.375,1187.5,594.9375
151,Polyamides (POLYLACTAMS),fiber,POLYAMIDES (POLYLACTAMS),fiber,SDC,Stormflow,2,SC,NA,1.06,SF-3,SDC-SF-3-N-2,SDC-SF-3,SDC-SF-3-N-2_S0-0_W_11,11,red,Fiber,Red,0,0,0,0.208,2.536,0.817,0,Y,SDC-SF-3-N-2_S0-0_W_11.SPA,Y,0.9,PA66,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYAMIDES (POLYLACTAMS),0,plastic,2536,817,NA,2.536,1268,635.268,1.15E-09,9.08E-10,1.70E-09,8.86E-10,1.40E-09,2.536,1268,635.268
152,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,1.54,SF-3,SDC-SF-3-N-3,SDC-SF-3,SDC-SF-3-N-3_S0-0_B_47,47,black,Fiber,Black,0,0,done,0.000319,3.952,0.77,3.952,Y,SDC-SF-3-N-3_S0-0_B_47.SPA,Y,0.7,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,3952,770,NA,3.952,770,386.976,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,3.952,1976,989.976
153,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,1.54,SF-3,SDC-SF-3-N-3,SDC-SF-3,SDC-SF-3-N-3_S0-0_D_27,27,black,Fiber,Black,0,0,0,0.085,1.772,0.546,0,Y,SDC-SF-3-N-3_S0-0_D_27.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1772,546,NA,1.772,886,443.886,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.772,886,443.886
154,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,3,T-1,Inside Thalweg,1.54,SF-3,SDC-SF-3-N-3,SDC-SF-3,SDC-SF-3-N-3_S0-0_D_43,43,black,Fiber,Black,0,0,0,0.039,1.758,0.466,0,Y,SDC-SF-3-N-3_S0-0_D_43.SPA,Y,0.9,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1758,466,NA,1.758,879,440.379,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.758,879,440.379
155,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,3,T-1,Inside Thalweg,1.54,SF-3,SDC-SF-3-N-3,SDC-SF-3,SDC-SF-3-N-3_S0-0_D_45,45,blue,Fiber,Blue,0,0,done,0.041,0.755,0.426,0,Y,SDC-SF-3-N-3_S0-0_D_45.SPA,Y,0.8,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,755,426,NA,0.755,377.5,189.1275,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,0.755,377.5,189.1275
156,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,3,T-1,Inside Thalweg,1.54,SF-3,SDC-SF-3-N-3,SDC-SF-3,SDC-SF-3-N-3_S0-0_D_50,50,gray,Fiber,Black,0,0,0,0.013,1.506,0.479,1.506,Y,SDC-SF-3-N-3_S0-0_D_50.SPA,Y,0.9,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1506,479,NA,1.506,753,377.253,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.506,753,377.253
157,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,3,T-1,Inside Thalweg,1.54,SF-3,SDC-SF-3-N-3,SDC-SF-3,SDC-SF-3-N-3_S0-0_E_7,7,clear,Fiber,Transparent,0,0,0,0.000319,3.636,0.219,3.636,Y,SDC-SF-3-N-3_S0-0_E_7.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,3636,219,NA,3.636,219,111.318,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,3.636,1818,910.818
158,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_G_15,15,black,Fiber,Black,0,0,0,0.051,6.007,0.721,6.007,Y,SDC-SF-3-N-4_S0-0_G_15.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,6007,721,NA,6.007,721,363.5035,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,6.007,3003.5,1504.7535
159,EVA,fiber,ETHYLENE-VINYL ACETATE,fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_G_18,18,brown,Fiber,Black,0,0,0,0.018,2.191,0.594,2.191,Y,SDC-SF-3-N-4_S0-0_G_18.SPA,Y,0.8,PEVA 10. Yellow Fiber,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Other Plastic,ETHYLENE-VINYL ACETATE,plastic,2191,594,NA,2.191,1095.5,548.8455,9.39E-10,9.31E-10,9.47E-10,9.34E-10,9.44E-10,2.191,1095.5,548.8455
160,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_G_48,48,black,Fiber,Black,0,0,0,0.045,5.255,1.012,5.255,Y,SDC-SF-3-N-4_S0-0_G_48.SPA,Y,0.7,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,5255,1012,NA,5.255,1012,508.6275,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,5.255,2627.5,1316.3775
161,Polyesters,fiber,POLYESTERS,fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_H_16,16,black,Fiber,Black,0,0,0,0.048,0.991,0.445,0,Y,SDC-SF-3-N-4_S0-0_H_16.SPA,Y,0.8,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,991,445,NA,0.991,495.5,248.2455,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,0.991,495.5,248.2455
162,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_I_10,10,black,Fiber,Black,0,0,0,0.068,1.309,0.844,0,Y,SDC-SF-3-N-4_S0-0_I_10.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1309,844,NA,1.309,654.5,327.9045,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.309,654.5,327.9045
163,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_I_65,65,red,Fiber,Red,0,0,0,0.021,2.532,0.371,2.532,Y,SDC-SF-3-N-4_S0-0_I_65.SPA,Y,0.9,PET.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2532,371,NA,2.532,371,186.766,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.532,1266,634.266
164,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_K_2,2,gray,Fiber,Black,0,0,0,0.013,1.42,0.234,1.42,Y,SDC-SF-3-N-4_S0-0_K_2.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,1420,234,NA,1.42,234,117.71,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.42,710,355.71
165,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_K_60,60,black,Fiber,Black,0,0,0,0.013,1.499,0.518,1.499,Y,SDC-SF-3-N-4_S0-0_K_60.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1499,518,NA,1.499,749.5,375.4995,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.499,749.5,375.4995
166,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,4,T-2,NA,1,SF-3,SDC-SF-3-N-4,SDC-SF-3,SDC-SF-3-N-4_S0-0_L_7,7,blue,Fiber,Blue,0,0,0,0.035,3.999,0.93,3.999,Y,SDC-SF-3-N-4_S0-0_L_7.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,3999,930,NA,3.999,930,466.9995,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,3.999,1999.5,1001.7495
