X,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
18,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_21,21,black,Non-Fiber,Black,0.00112,0.000464,0.0002376,0.329593346,0.00049796,1450,0.027915088,1.038880505,1290,0.021477595,0.799304479,1610,0.033481646,1.246044031
19,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_44,44,black,Non-Fiber,Black,0.00055,0.000366,0.00027775,0.619059197,0.000382384,1450,0.032986434,1.227614336,1290,0.025379439,0.944514439,1610,0.03956427,1.472413342
20,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_3,3,black,Non-Fiber,Black,0.000662,0.000436,0.00033431,0.622267513,0.000458667,1450,0.038272009,1.424320925,1290,0.029446109,1.095858561,1610,0.045903844,1.708345261
21,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_4,4,black,Non-Fiber,Black,0.001011,0.000652,0.000510555,0.628844342,0.00069558,1450,0.053740314,1.999985236,1290,0.041347271,1.53876904,1610,0.064456689,2.398802993
22,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_A_5,5,black,Non-Fiber,Black,0.00104,0.000677,0.0005252,0.625912628,0.000717765,1450,0.054952904,1.733828627,1290,0.042280226,1.333990753,1610,0.065911082,2.079572001
23,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_D_47,47,black,Non-Fiber,Black,0.000877,0.000556,0.000442885,0.63424022,0.000599959,1450,0.047989511,1.514125395,1290,0.03692266,1.16495324,1610,0.057559116,1.816057671
24,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_E_48,48,black,Non-Fiber,Black,0.001728,0.000905,0.00087264,0.697812842,0.001109198,1450,0.083089725,2.621578326,1290,0.06392842,2.017016671,1610,0.099658676,3.144348179
25,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_4,4,black,Non-Fiber,Black,0.000761,0.000374,0.000190805,0.357652794,0.000378688,1450,0.02355045,0.743044328,1290,0.018119485,0.571691024,1610,0.028246653,0.891215058
26,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_5,5,black,Non-Fiber,Black,0.000716,0.000539,0.00036158,0.582040904,0.000518683,1450,0.040568634,1.279988011,1290,0.031213109,0.984810231,1610,0.048658439,1.535230869
27,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_6,6,black,Non-Fiber,Black,0.001119,0.000599,0.000565095,0.690228695,0.000723535,1450,0.058648918,1.850442183,1290,0.045123902,1.42371208,1610,0.070344119,2.219439507
28,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_7,7,black,Non-Fiber,Black,0.000781,0.000601,0.000394405,0.575678035,0.000569931,1450,0.04345728,1.371128173,1290,0.033435605,1.054932579,1610,0.052123111,1.644545323
29,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_11,11,black,Non-Fiber,Black,0.00048,0.000288,0.0002424,0.651952197,0.000322395,1450,0.029685004,0.936596701,1290,0.022839351,0.720608322,1610,0.035604501,1.123363777
30,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_16,16,black,Non-Fiber,Black,0.000782,0.00059,0.00039491,0.581391595,0.000566916,1450,0.043530439,1.37343645,1290,0.033491893,1.056708545,1610,0.05221086,1.647313895
31,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_17,17,black,Non-Fiber,Black,0.000662,0.000242,0.00012431,0.31057707,0.000271056,1450,0.016559458,0.522470323,1290,0.012740684,0.401983546,1610,0.019861585,0.626656313
32,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_18,18,black,Non-Fiber,Black,0.001166,0.000654,0.00058883,0.674297857,0.000765753,1450,0.060517181,1.909388089,1290,0.046561326,1.469064483,1610,0.072584934,2.290139838
33,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_20,20,black,Non-Fiber,Black,0.000716,0.000368,0.00036158,0.704407514,0.000456725,1450,0.041088008,1.296374859,1290,0.03161271,0.997418111,1610,0.049281382,1.554885424
34,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_F_23,23,black,Non-Fiber,Black,0.000762,0.000618,0.00038481,0.5607569,0.000565887,1450,0.042534894,1.342025812,1290,0.03272593,1.032541507,1610,0.051016792,1.60963965
35,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_A_6,6,black,Non-Fiber,Black,0.002278,0.001009,0.00051589,0.340278623,0.001058443,1450,0.052015322,1.856743011,1290,0.040020079,1.428559876,1610,0.062387716,2.226996786
36,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_B_26,26,black,Non-Fiber,Black,0.00075,0.000446,0.00037875,0.654869223,0.000502246,1450,0.042434822,1.514756708,1290,0.032648936,1.165438966,1610,0.050896764,1.816814874
37,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_C_30,30,black,Non-Fiber,Black,0.000683,0.000524,0.000344915,0.576548818,0.000497914,1450,0.039041099,1.393614117,1290,0.030037839,1.072233044,1610,0.046826298,1.671515197
38,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_C_36,36,black,Non-Fiber,Black,0.000766,0.000479,0.00038683,0.638613369,0.000521629,1450,0.04308525,1.53797444,1290,0.033149369,1.183302461,1610,0.051676895,1.844662462
39,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_C_40,40,black,Non-Fiber,Black,0.000534,0.000417,0.00026967,0.571470714,0.000391595,1450,0.032045152,1.143886249,1290,0.024655226,0.880094869,1610,0.038435287,1.371989007
40,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_B_32,32,black,Non-Fiber,Black,0.000754,0.000255,0.00013127,0.299370996,0.000293332,1450,0.01725479,0.628629203,1290,0.013275666,0.483661148,1610,0.020695573,0.753984373
41,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_B_43,43,black,Non-Fiber,Black,0.001061,0.00063,0.000535805,0.655358287,0.000710157,1450,0.056010222,2.0405732,1290,0.043093716,1.569997022,1610,0.06717924,2.447484618
42,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_C_35,35,black,Non-Fiber,Black,0.000945,0.000403,0.000206225,0.334174175,0.000428245,1450,0.024947931,0.908906951,1290,0.019194694,0.6993041,1610,0.029922807,1.090152405
