Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,filter
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_F_9,9,black,fragment,Non-Fiber,Blacks,0,"bounces back slightly when touched, retains original shape",done,0.122,0.661,0.267,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_10,10,green,fragment,Non-Fiber,Greens,0,0,0,0.24,0.74,0.521,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_11,11,blue,fragment,Non-Fiber,Blues,0,0,0,0.109,0.514,0.376,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_12,12,black,TW,Non-Fiber,Blacks,0,0,0,0.159,0.742,0.524,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_13,13,gray,fragment,Non-Fiber,Blacks,0,0,0,0.767,1.47,0.857,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_14,14,black,TW,Non-Fiber,Blacks,0,0,0,0.176,0.619,0.406,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_15,15,pink,fragment,Non-Fiber,Reds,0,0,0,0.042,0.305,0.243,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_16,16,black,TW,Non-Fiber,Blacks,0,0,0,0.085,0.582,0.286,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_17,17,black,fragment,Non-Fiber,Blacks,0,0,0,0.16,0.624,0.441,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_18,18,black,TW,Non-Fiber,Blacks,0,0,0,0.279,0.865,0.642,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_19,19,green,fragment,Non-Fiber,Greens,0,0,0,0.182,1.066,0.284,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_2,2,black,film,Non-Fiber,Blacks,0,0,0,0.000146,3.755,1.41,4.982,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_21,21,black,TW,Non-Fiber,Blacks,0,0,0,0.08,0.545,0.26,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_22,22,black,TW,Non-Fiber,Blacks,0,0,0,0.08,0.796,0.22,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_23,23,black,TW,Non-Fiber,Blacks,0,0,0,0.12,0.884,0.367,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_24,24,gray,fragment,Non-Fiber,Blacks,0,0,0,0.398,1.22,0.697,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_25,25,black,TW,Non-Fiber,Blacks,0,0,0,0.083,0.71,0.196,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_26,26,green,fragment,Non-Fiber,Greens,0,0,0,0.108,0.616,0.321,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_27,27,pink,fragment,Non-Fiber,Reds,0,0,0,0.076,1.036,0.195,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_29,29,black,TW,Non-Fiber,Blacks,0,0,0,0.125,0.463,0.4,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_3,3,black,TW,Non-Fiber,Blacks,0,0,0,0.054,0.464,0.28,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_30,30,gray,fragment,Non-Fiber,Blacks,0,0,0,0.173,0.66,0.404,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_31,31,black,TW,Non-Fiber,Blacks,0,0,0,0.207,0.912,0.328,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_32,32,black,TW,Non-Fiber,Blacks,0,0,0,0.166,0.639,0.519,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_4,4,gray,film,Non-Fiber,Blacks,0,0,0,0.000073,1.707,0.4,2.054,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_5,5,black,fragment,Non-Fiber,Blacks,0,0,0,0.057,0.453,0.274,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_6,6,blue,fragment,Non-Fiber,Blues,0,0,0,0.141,0.592,0.38,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_7,7,black,TW,Non-Fiber,Blacks,0,0,0,0.197,0.675,0.581,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_8,8,black,TW,Non-Fiber,Blacks,0,0,0,0.197,0.703,0.543,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-3_G_9,9,black,TW,Non-Fiber,Blacks,0,0,0,0.174,0.889,0.397,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_A_2,2,green,fragment,Non-Fiber,Greens,0,0,0,0.653,1.646,0.709,0,rep
