Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_A_1,1,red,fragment,Non-Fiber,Reds,0,inorganics stuck to it. FTIR red part not black,done,0.075,2.822,1.831,8.511
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_A_2,2,red,fragment,Non-Fiber,Reds,0,inorganics stuck to it. FTIR red part not black,done,3.157,2.806,1.9,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_C_2,2,black,TW,Non-Fiber,Blacks,0,very small,done,0.019,0.395,0.099,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_C_3,3,blue,fragment,Non-Fiber,Blues,0,0,done,0.079,0.629,0.283,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_C_5,5,black,TW,Non-Fiber,Blacks,0,"bounces back, retains original shape",done,0.088,0.541,0.328,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_C_7,7,black,TW,Non-Fiber,Blacks,0,"bounces back when touched, retains original shape",done,0.142,0.773,0.347,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_D_2,2,green,fragment,Non-Fiber,Greens,0,"can be compressed, slightly transparent",done,0.616,1.71,0.829,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_D_3,3,gray,fragment,Non-Fiber,Blacks,0,maybe plaster?,done,1.464,2.209,1.227,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_D_6,6,black,TW,Non-Fiber,Blacks,0,very small,done,0.014,0.341,0.12,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_D_7,7,black,fragment,Non-Fiber,Blacks,0,"able to compress, does not seem to really retain original shape; sticky",done,0.801,1.245,1.049,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_E_3,3,black,fragment,Non-Fiber,Blacks,0,"can be compressed, does not retain original shape well",done,0.348,0.874,0.702,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_E_6,6,black,fragment,Non-Fiber,Blacks,0,"bounces back, too small to tell",done,0.051,0.452,0.224,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_E_7,7,black,fragment,Non-Fiber,Blacks,0,seems to break easily with little to no pressure,done,0.24,0.964,0.411,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_E_8,8,black,fragment,Non-Fiber,Blacks,0,"bounces back, retain original shape",done,0.144,0.665,0.419,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_E_9,9,black,fragment,Non-Fiber,Blacks,0,seems retain original shape,done,0.082,0.535,0.243,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_F_1,1,black,tw,Non-Fiber,Blacks,0,0,0,0.156,0.826,0.459,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_F_3,3,black,tw,Non-Fiber,Blacks,0,0,0,0.501,1.578,0.699,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_F_4,4,black,tw,Non-Fiber,Blacks,0,0,0,0.108,0.843,0.26,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_F_12,12,black,tw,Non-Fiber,Blacks,0,0,0,0.073,0.748,0.389,0
SAD,X,DF-3,SAD-DF-3-N_S,SAD-DF-3,SAD-DF-3-N_S0-0_F_13,13,black,tw,Non-Fiber,Blacks,0,0,0,0.176,1.056,0.46,0
